Слово,Пиньинь,Перевод слова
['考验'],['kǎoyàn'],"['испытывать, подвергать испытанию, проверять; наблюдать, испытание']"
['科技'],['kējì'],['наука и техника']
['可靠'],['kěkào'],['надёжный; верный; достоверный']
['可乐'],['kělè'],['кола']
['克服'],['kèfú'],"['преодолеть; одолеть, справиться']"
['客观'],['kèguān'],['объективный']
['课程'],['kèchéng'],"['курс (лекций); предмет, дисциплина']"
['空'],['kōng'],"['пустой; порожний; пустота; впустую, попусту, напрасно; воздух; воздушный']"
['空调'],['kōngtiáo'],['кондиционер']
['恐怕'],['kǒngpà'],"['бояться, опасаться; боюсь, что']"
['空儿'],['kòngr'],['свободное время']
['裤子'],['kùzi'],"['штаны, брюки']"
['快速'],['kuàisù'],"['быстрый, скорый, скоростной, стремительный']"
['困'],['kùn'],"['утомиться, устать; клонит ко сну, хочется спать; окружить; трудный; затруднительный']"
['困难'],['kùnnan'],"['трудность; трудный, тяжёлый']"
['浪费'],['làngfèi'],"['расточительство, траты; растрачивать, транжирить, тратить']"
['老百姓'],['lǎobǎixìng'],"['простой народ, население; простые люди']"
['老板'],['lǎobǎn'],['хозяин; владелец / начальник']
['老太太'],['lǎotàitai'],['вежливая форма обращения к пожилой женщине; мама или свекровь (тёща)']
['老头儿'],['lǎotóur'],['старик']
['乐'],['lè'],"['радостный, веселый; радость, веселье; смеяться; наслаждаться, любить']"
['乐观'],['lèguān'],['оптимистичный; оптимистический; оптимизм']
['类'],['lèi'],"['категория, вид, тип; счетное слово для видов']"
['类似'],['lèisì'],"['подобный, похожий, сходный, аналогия, сходство']"
['离婚'],['lí hūn'],['развестись; расторгнуть брак; развод']
['里面'],['lǐmiàn'],"['внутри, внутренняя часть']"
['理发'],['lǐ fà'],['стричься; причёсываться; стрижка; причёсывание']
['理解'],['lǐjiě'],"['понимать, осмысливать, уяснять; понимание']"
['理论'],['lǐlùn'],['теория; учение; теоретический']
['理由'],['lǐyóu'],['аргумент; довод; основание; мотив']
['力'],['lì'],['сила; мощь; способность']
['力量'],['lìliang'],"['сила, мощь, энергия']"
['立刻'],['lìkè'],"['немедленно, сразу же, сейчас же']"
['利用'],['lìyòng'],['использовать; пользоваться; утилизировать']
['连'],['lián'],['соединять(ся); связывать(ся); вместе с; даже; подряд']
['连忙'],['liánmáng'],"['тотчас же, сразу же, поспешно, торопливо, быстро']"
['连续'],['liánxù'],['последовательный; следующий один за другим; подряд; один за другим;']
['连续剧'],['liánxùjù'],"['сериал, мыльная опера']"
['联合'],['liánhé'],"['соединять, объединять; сочетать, комбинировать']"
['联合国'],['Liánhéguó'],"['ООН, Организация Объединённых Наций']"
['联系'],['liánxì'],"['связываться; связывать, соединять; связь, контакт']"
['凉水'],['liángshuǐ'],['холодная вода; остуженный кипяток']
['了'],['le /liǎo'],"['1) после глагола или прилагательного означает завершения действия или изменение состояния 2) в конце предложения или паузы означает перемену, создание новой ситуации 3) liǎo разрешать, улаживать; понимать, отпускать; в конце концов']"
['领'],['lǐng'],"['вести, возглавлять; принимать; брать, получать']"
['领导'],['lǐngdǎo'],['руководитель; лидер; руководить; руководящий; ведущий']
['领先'],['lǐng xiān'],"['вести; идти впереди, лидировать; спорт вести (в счете) ; ведущий, передовой']"
['另外'],['lìngwài'],"['кроме того, сверх того; другой, иной']"
['另一方面'],['lìngyìfāngmiàn'],['с другой стороны']
['留学'],['liú xué'],['учиться за границей']
['龙'],['lóng'],['дракон; императорский']
['录'],['lù'],"['записывать на пленку/видео; записывать, делать записи; принимать на работу; записи, собрание']"
['录音'],['lùyīn'],['звукозапись; записывать звук; звукозаписывающий']
['路线'],['lùxiàn'],"['путь, маршрут']"
['旅馆'],['lǚguǎn'],"['отель, гостиница']"
['旅行社'],['lǚxíngshè'],['туристическое агентство']
['绿茶'],['lǜchá'],['зеленый чай']
['乱'],['luàn'],"['беспорядочный, хаотичный; хаотично; перепутать(ся); смешать(ся)']"
['落后'],['luò hòu'],"['отставать, быть позади; быть хуже других; отсталость, отставание']"
['麻烦'],['máfan'],['хлопотливый; беспокойный; хлопоты; докучать; беспокоить; затруднять']
['马'],['mǎ'],['лошадь; сокр. Малайзия']
['满足'],['mǎnzú'],['быть удовлетворённым; удовлетвориться; удовлетворение']
['慢慢'],['mànmàn'],['медленно']
['毛'],['máo'],['волос; перо; шерсть; плесень']
['毛病'],['máobìng'],"['недостаток, изъян, порок, дефект; погрешность']"
['没用'],['méiyòng'],"['бесполезный, непригодный']"
['媒体'],['méitǐ'],"['средства массовой информации, медиа']"
['每'],['měi'],['каждый']
['美'],['měi'],"['красивый; хороший, отличный; (диал.) быть довольным собой']"
['美好'],['měihǎo'],"['счастливый, хороший, замечательный, чудесный, славный']"
['美丽'],['měilì'],['красивый']
['美食'],['měishí'],"['вкусная еда, деликатес, лакомство']"
['美术'],['měishù'],['изящные искусства; изобразительное искусство; художественный; живопись']
['美元'],['měiyuán'],['американский доллар']
['迷'],['mí'],"['заблудиться; сбивать с толку; быть очарованным, быть без ума от; фанат, любитель']"
['米'],['mǐ'],['рис; семена; предмет в форме зерна']
['面对'],['miànduì'],"['перед лицом , лицом к ; столкнуться с']"
['面积'],['miànjī'],"['поверхность, площадь']"
['民间'],['mínjiān'],['в народе; народ; народный']
['民族'],['mínzú'],"['нация, народ, этнос, этническая группа; национальность, народность']"
['明确'],['míngquè'],"['ясный, чёткий; определённый; уяснить; определить']"
['明显'],['míngxiǎn'],['ясный; явный; очевидный']
['命运'],['mìngyùn'],"['судьба, рок; участь, удел']"
['某'],['mǒu'],['некто; некий; некоторый']
['母亲'],['mǔqīn'],"['мать, матушка']"
['木头'],['mùtou'],"['дерево (материал), древесина; бревно; деревянный; чурбан (о человеке); деревянный, бесчувственный']"
['目标'],['mùbiāo'],"['мишень, цель, ориентир']"
['目前'],['mùqián'],['в настоящий момент; сейчас; текущий; современный']
['奶茶'],['nǎichá'],['чай с молоком']
['男子'],['nánzǐ'],"['мужчина, муж']"
['南部'],['nánbù'],['южная часть']
['难道'],['nándào'],"['неужто, неужели, разве']"
['难度'],['nándù'],"['степень трудности, сложность']"
['内'],['nèi'],['внутренний; в; внутри; в течение']
['内容'],['nèiróng'],"['содержание, содержимое, контент; детали, подробности']"
['内心'],['nèixīn'],"['внутри, в сердце, в мыслях']"
['能不能'],['néngbunéng'],"['можно или нет, возможно ли']"
['能力'],['nénglì'],['способность; сила']
['年初'],['niánchū'],['начало года']
['年代'],['niándài'],"['эпоха, эра; период; годы']"
['年底'],['niándǐ'],"['конец года, последний месяц года']"
['年纪'],['niánjì'],"['возраст, лета']"
['念'],['niàn'],"['думать; помнить; вспоминать; читать вслух, декламировать']"
['牛'],['niú'],"['крупный рогатый скот, корова']"
['农村'],['nóngcūn'],['деревня; село; деревенский']
['农民'],['nóngmín'],['крестьянин; сельчанин; земледелец']
['农业'],['nóngyè'],['сельское хозяйство; агрономия; земледелие']
['女子'],['nǚzǐ'],['женщина; женский']
['暖和'],['nuǎnhuo'],"['тёплый; тепло; греться, согреваться']"
['怕'],['pà'],"['боюсь, что..., пожалуй; как бы не...']"
['拍'],['pāi'],"['стучать по, стучать в]; шлёпать; щёлкать; хлопать; фотографировать, снимать']"
['排'],['pái'],"['расставлять, ставить в ряд; репетировать']"
['排名'],['pái míng'],"['рейтинг, список по порядку; ранжировать, находиться']"
['牌子'],['páizi'],"['вывеска, бирка, свидетельство, грамота, удостоврение; щит; мелодия, мотив']"
['派'],['pài'],"['группировка; партия; фракция; школа (напр., научная)']"
['判断'],['pànduàn'],"['определять, решать; решение; судить, оценивать; полагать; мнение; суждение; умозаключение']"
['胖'],['pàng'],"['толстый, жирный']"
['跑步'],['pǎo bù'],['бегать']
['配'],['pèi'],"['составлять пару (супружескую), сочетаться (браком), подходить друг к другу (о супругах); соответствовать, подходить; сочетаться, согласовываться; гармонировать с...; идти, быть к лицу']"
['配合'],['pèihé'],"['сочетать, соединять, подбирать, комбинировать, координировать, взаимодействовать']"
['批评'],['pīpíng'],['критиковать; критика']
['批准'],['pīzhǔn'],['утвердить; санкционировать; ратифицировать']
['皮'],['pí'],"['кожа, кожура, оболочка зерна; кожа, мех; покров, обертка']"
['皮包'],['píbāo'],['кожаная сумка или портфель']
['啤酒'],['píjiǔ'],['пиво']
['票价'],['piàojià'],['стоимость билета']
['评价'],['píngjià'],"['оценивать, давать оценку; оценка']"
['苹果'],['píngguǒ'],['яблоко']
['破'],['pò'],['сломать; разрушить; порвать; поранить; поломанный; разбитый; рваный; изношенный']
['破坏'],['pòhuài'],['разрушение; подрыв; нарушать; разрушать;']
['普遍'],['pǔbiàn'],"['повсеместный; всеобщий, универсальный; распространённый']"
['普及'],['pǔjí'],['популярный; распространяться; охватывать; популяризировать']
['期'],['qī'],"['назначенное время, срок; предел времени; на срок, к сроку, в срок; своевременно; период, цикл (напр. семестр, триместр, квартал); круг']"
['齐'],['qí'],"['ровный, аккуратный; одинаковый, идентичный; все готовы или присутствуют; одновременно']"
['其次'],['qícì'],['затем; потом; далее; следующий; во-вторых']
['其实'],['qíshí'],['на самом деле']
['奇怪'],['qíguài'],['странный']
['气候'],['qìhòu'],['климат; климатический; погода']
['千万'],['qiānwàn'],['во что бы то ни стало; ни в коем случае (перед отрицанием); 10 миллионов; множество (образно)']
['前后'],['qiánhòu'],"['примерно, около; от начала до конца; спереди и сзади']"
['前进'],['qiánjìn'],"['идти вперед, продвигаться']"
['前面'],['qiánmiàn'],"['спереди, впереди, перед']"
['前往'],['qiánwǎng'],['направляться в']
['强'],['qiáng'],"['сильный, мощный; здоровый, дюжий, крепкий; твёрдый, стойкий; мощный, могущественный ']"
['强大'],['qiángdà'],"['великий и могучий, мощный, сильный']"
['强调'],['qiángdiào'],"['подчёркивать, акцентировать, делать упор на']"
['强烈'],['qiángliè'],['сильный; мощный; решительный; резкий']
['桥'],['qiáo'],['мост']
['巧'],['qiǎo'],"['происходящий как раз кстати; умелый, искусный, ловкий; хитрый, лукавый']"
['亲'],['qīn'],"['родители; родительский; родня, родственники']"
['亲切'],['qīnqiè'],"['близкий, дружеский; тёплый, сердечный, интимный']"
['亲人'],['qīnrén'],"['родственник, член семьи']"
['亲自'],['qīnzì'],['лично; сам; собственной персоной']
['情感'],['qínggǎn'],"['чувства, эмоции']"
['情况'],['qíngkuàng'],['обстановка; обстоятельства; положение']
['请教'],['qǐngjiào'],['просить совета; советоваться; просить указаний']
['庆祝'],['qìngzhù'],['праздновать; отмечать; чествовать']
['球迷'],['qiúmí'],['болельщик; поклонники спорта']
['区'],['qū'],"['район, участок; округ, область, зона, ареал; районный, участковый, зональный']"
['区别'],['qūbié'],"['различать; отличать; различие, отличие']"
['取消'],['qǔxiāo'],['аннулировать; упразднить; ликвидировать; отменить']
['去世'],['qùshì'],['скончаться; умереть']
['全场'],['quánchǎng'],"['все присутствующие, вся аудитория, вся продолжительность']"
['全面'],['quánmiàn'],['всесторонний; всеобщий; полный']
['全球'],['quánqiú'],"['весь мир, во всем мире']"
['缺'],['quē'],"['не хватать; быть неполным; иметь изъян; отсутствовать; вакансия, свободное место']"
['缺点'],['quēdiǎn'],['недостаток; изъян; дефект']
['缺少'],['quēshǎo'],"['недоставать, не хватать; недостающий, нехватка']"
['确保'],['quèbǎo'],['гарантировать; обеспечить']
['确定'],['quèdìng'],"['устанавливать, определять; констатировать; подтверждать']"
['确实'],['quèshí'],['достоверный; действительный; в самом деле; действительно']
['裙子'],['qúnzi'],['юбка']
['群'],['qún'],"['стадо, табун, отара, стая, рой, косяк (животных); толпа, скопище']"
['热爱'],['rèài'],['горячо любить; горячая любовь']
['热烈'],['rèliè'],['пламенный; горячий; страстный']
['人才'],['réncái'],"['таланты, способности; дарования; достоинства человека; способный, талантливый']"
['人工'],['réngōng'],['искусственный; ручной труд; рабочая сила']
['人类'],['rénlèi'],['человечество; род человеческий']
['人民'],['rénmín'],['народ']
['人民币'],['rénmínbì'],"['китайский юань, жэньминьби, народная валюта (деньги КНР)']"
['人群'],['rénqún'],['толпа']
['人生'],['rénshēng'],['жизнь человека; человеческий век']
['人员'],['rényuán'],"['сотрудник, личный состав, штат, персонал, работники']"
['认出'],['rènchū'],"['узнавать, признавать']"
['认得'],['rènde'],"['узнавать, признавать, быть знакомым с ']"
['认可'],['rènkě'],"['признание, одобрение; позволять, разрешать']"
['任'],['rèn'],"['назначать на должность; исполнять обязанности; брать на себя, нести']"
['任'],['rèn'],['поручать дело; уполномочивать; использовать на службе']
['任何'],['rènhé'],['любой; какой бы то ни было; всякий']
['任务'],['rènwu'],['задача; задание']
['仍'],['réng'],"['до сих пор, все еще']"
['仍然'],['réngrán'],"['по-прежнему, до сих пор, всё ещё']"
['日常'],['rìcháng'],['повседневный; обыденный; текущий']
['容易'],['róngyì'],"['легкий, простой']"
['如何'],['rúhé'],['как; каким образом']
['散步'],['sàn bù'],"['прогуливаться, гулять']"
['沙发'],['shāfā'],"['софа, диван']"
['沙子'],['shāzi'],['песок']
['伤'],['shāng'],"['травма, рана; ранить; приедаться, надоедать']"
['伤心'],['shāng xīn'],"['горевать, огорчаться, печалиться; ранить душу,']"
['商品'],['shāngpǐn'],['товар; товары; товарный']
['商业'],['shāngyè'],"['торговля, бизнес, коммерция']"
['上来'],['shàng lái'],['подниматься']
['上面'],['shàngmiàn'],"['верх, верхняя часть']"
['上去'],['shàng qù'],"['подниматься, идти вверх']"
['上升'],['shàngshēng'],"['расти, подниматься, повышаться']"
['上衣'],['shàngyī'],"['пальто, куртка, пиджак']"
['设备'],['shèbèi'],['оборудовать; оборудование']
['设计'],['shèjì'],['проектировать; конструировать; разрабатывать; проект; план']
['设立'],['shèlì'],['учредить; основать; создать; открыть']
['社会'],['shèhuì'],['общество; общественный; социальный']
['身份证'],['shēnfènzhèng'],['удостоверение личности']
['深'],['shēn'],['глубокий; глубина; темный']
['深刻'],['shēnkè'],['глубокий; серьёзный; глубоко']
['深入'],['shēnrù'],"['глубоко, тщательно; глубоко проникать, углубляться в']"
['升'],['shēng'],"['подниматься, восходить; повышаться, возвышаться']"
['生'],['shēng'],"['сырой, неготовый, незнакомый']"
['生产'],['shēngchǎn'],"['родить, родиться, рожать']"
['生存'],['shēngcún'],['существовать; существование; выживание']
['生动'],['shēngdòng'],['живой; яркий; наглядный']
['生命'],['shēngmìng'],['жизнь; жизненный; спасительный']
['生意'],['shēngyi'],"['торговля, коммерция, бизнес']"
['生长'],['shēngzhǎng'],"['расти, вырастать; рост']"
['声明'],['shēngmíng'],['заявлять; заявление; декларация; сделать заявление']
['胜'],['shèng'],['выигрывать; одерживать победу над; превосходить']
['胜利'],['shènglì'],['победа; успех; триумф; победить']
['失去'],['shīqù'],"['потерять, утратить; лишиться, упустить']"
['石头'],['shítou'],"['камень; каменный, мощённый камнем']"
['石油'],['shíyóu'],['нефть; нефтяной']
['时'],['shí'],"['час (астрономический); время года, сезон; во время, в то время, когда']"
['时代'],['shídài'],['эпоха; эра; век; период']
['时刻'],['shíkè'],['время; момент; постоянно; всё время']
['实际上'],['shíjìshàng'],"['на самом деле, в действительности']"
['实力'],['shílì'],"['сила, мощь']"
['实行'],['shíxíng'],"['осуществлять, проводить в жизнь']"
['实验'],['shíyàn'],"['испытывать, экспериментировать; испытание, эксперимент, опыт']"
['实验室'],['shíyànshì'],['лаборатория']
['食品'],['shípǐn'],"['продовольствие, продукты питания']"
['使'],['shǐ'],"['применять; побудить; заставить; привести (к тому, что); чтобы']"
['始终'],['shǐzhōng'],['с начала до конца; всё время; всегда']
['世纪'],['shìjì'],['век']
['世界'],['shìjiè'],"['мир, свет']"
['世界杯'],['shìjièbēi'],['Кубок мира']
['市场'],['shìchǎng'],"['рынок, базар; базарная площадь']"
['事故'],['shìgù'],"['случай, случайность, инцидент, несчастный случай']"
['事件'],['shìjiàn'],['инцидент; событие; дело']
['事实'],['shìshí'],['факт; обстоятельство; событие; явление']
['事实上'],['shìshíshàng'],"['на самом деле, в действительности, фактически']"
['事业'],['shìyè'],"['дело, деятельность; поприще; работа, занятие; предприятие']"
['试题'],['shìtí'],['экзаменационный вопрос']
['试验'],['shìyàn'],['экспериментировать; испытывать; эксперимент; испытания; экспериментальный; опытный']
['适合'],['shìhé'],"['соответствовать, подходить']"
['适应'],['shìyìng'],"['годиться, соответствовать; приспособляться; приспособление, адаптация; адаптивный']"
['适用'],['shìyòng'],"['подходящий, пригодный, применимый']"
['室'],['shì'],"['комната, помещение; офис, отдел; семья, клан; член семьи, жена; полость']"
['收费'],['shōufèi'],['взимать плату']
['收看'],['shōukàn'],['смотреть (телепередачу)']
['收听'],['shōutīng'],['слушать']
['收音机'],['shōuyīnjī'],['радиоприёмник']
['手续'],['shǒuxù'],"['формальности, процедура; порядок; оформление']"
['手指'],['shǒuzhǐ'],"['палец руки, перст']"
['首都'],['shǒudū'],['столица']
['首先'],['shǒuxiān'],"['прежде всего, первым делом, в первую очередь; сначала, сперва']"
['受'],['shòu'],['выносить; получать; подвергаться; (разг.) быть приятным для']
['受伤'],['shòu shāng'],"['получить травму; быть раненым, получить ранение']"
['书架'],['shūjià'],"['книжная полка; этажерка, стеллаж']"
['输'],['shū'],['транспортировать; перевозить; проиграть; потерпеть поражение']
['输入'],['shūrù'],['ввозить; импортировать; ввоз; импорт']
['熟人'],['shúrén'],"['знакомый, знакомый человек']"
['属'],['shǔ'],"['принадлежать, относиться; входить в состав, быть частью']"
['属于'],['shǔyú'],"['принадлежать, относиться к; входить в состав']"
['束'],['shù'],['связать; перевязать; сч.слово: связка; пучок; букет']
['数量'],['shùliàng'],"['количество, число; цифра; количественный']"
['双'],['shuāng'],['пара']
['双方'],['shuāngfāng'],['обе стороны; двусторонний; обоюдный']
['思想'],['sīxiǎng'],"['мысль, идея; идеология; мышление, образ мыслей']"
['死'],['sǐ'],"['умирать, смерть, смертельный, мертвый, до смерти']"
['速度'],['sùdù'],['скорость']
['随'],['suí'],"['следовать; соответствовать; разрешать действовать по желанию; (разг.) походить на, выглядеть как; вместе с']"
['所'],['suǒ'],"['бюро, учреждение; место, положение; сч.слово для учреждений; счетное слово для зданий']"
['所长'],['suǒzhǎng'],"['глава; директор, начальник, заведующий']"
['台'],['tái'],"['башня; вышка; сцена, арена; (тех.) стенд; пульт; прилавок; стол; настольный; (сч. сл. для машин/механизмов); (сокр.) Тайвань']"
['谈'],['tán'],"['беседовать, разговаривать; разговоры']"
['谈话'],['tán huà'],['разговаривать; разговор']
['谈判'],['tánpàn'],['переговоры; договариваться; обсуждать; вести переговоры']
['汤'],['tāng'],['отвар; бульон; суп']
['糖'],['táng'],['сахар; конфеты']
['特色'],['tèsè'],"['характерная черта, свойство, особенность']"
['提前'],['tíqián'],"['быть досрочным, ускоренным; досрочный, ускоренный; до срока, досрочно, заранее, заблаговременно']"
['提问'],['tíwèn'],"['опрашивать, вести опрос ; задавать вопросы, спрашивать']"
['题目'],['tímù'],"['заглавие; название; заголовок; наименование; тема, сюжет']"
['体会'],['tǐhuì'],"['уяснить, понять; представление; соображения; впечатление, опыт']"
['体现'],['tǐxiàn'],"['воплощать(-ся), осуществлять(-ся); выражаться, проявляться; воплощение, выражение, проявление']"
['体验'],['tǐyàn'],"['познать, постичь (на собственном опыте); опыт']"
['天空'],['tiānkōng'],"['небесное пространство, небо']"
['甜'],['tián'],['сладкий']
['调'],['tiáo'],"['подходить, быть соответствующим (своевременным); гармонировать; быть в должном порядке, быть хорошо отрегулированным; приставать, совращать; флиртовать']"
['调整'],['tiáozhěng'],"['регулировать, настраивать, упорядочивать, приводить в порядок; налаживать']"
['跳'],['tiào'],"['прыгать, скакать, перескакивать; отскакивать; биться, пульсировать; пропускать, перепрыгивать через']"
['跳高'],['tiàogāo'],['прыжки в высоту']
['跳舞'],['tiào wǔ'],['танцевать']
['跳远'],['tiàoyuǎn'],['прыжки в длину']
['铁'],['tiě'],"['железо; непоколебимый; твердый, прочный; жестокий, беспощадный']"
['铁路'],['tiělù'],['железная дорога']
['听力'],['tīnglì'],"['слух; (при изучении языка) аудирование, восприятие на слух']"
['听众'],['tīngzhòng'],"['слушатели, аудитория']"
['停止'],['tíngzhǐ'],"['прекращать, останавливаться']"
['通常'],['tōngcháng'],"['обычный, обыкновенный; обычно, как правило']"
['通信'],['tōng xìn'],"['обмениваться письмами, передавать сообщение; связь, коммуникация']"
['同意'],['tóngyì'],['соглашаться']
['痛'],['tòng'],"['больной, болезненный']"
['痛苦'],['tòngkǔ'],"['мучиться, страдать; страдание, мучение; болезненный']"
['头'],['tóu'],"['первый (перед числительным); прошлый, прошедший']"
['头脑'],['tóunǎo'],"['мозг, ум, разум']"
['突出'],['tūchū'],"['прорваться, выступать; возвышаться, хорошо заметный; разительный']"
['突然'],['tūrán'],"['вдруг, неожиданный']"
['图'],['tú'],['рисунок']
['图画'],['túhuà'],"['иллюстрация, рисунок, рисование, живопись']"
['土'],['tǔ'],"['почва, земля, территория']"
['团'],['tuán'],"['группа; труппа; союз; организация, скопление; сгусток; сборка']"
['团结'],['tuánjié'],['сплачивать(ся); сплочение; сплочённость; солидарность']
['团体'],['tuántǐ'],['коллектив; группа; организация']
['推动'],['tuī dòng'],"['подталкивать, продвигать вперед, способствовать']"
['推广'],['tuīguǎng'],"['расширять, развивать, внедрять, распростронять; популяризировать; продвигать (товар); развитие, внедрение']"
['推进'],['tuījìn'],"['двигать вперед, продвигать; продвигаться вперед']"
['推开'],['tuīkāi'],"['открывать, отталкивать; отвергать, отказываться']"
['退'],['tuì'],"['отступать, отходить назад, вернуть, отдать назад, выйти']"
['退出'],['tuìchū'],"['выходить из, оставлять, покидать']"
['退休'],['tuìxiū'],['уйти на пенсию; выйти в отставку']
['外交'],['wàijiāo'],['международные отношения; дипломатчиеские отношения; дипломатия; дипломатический']
['外面'],['wàimiàn'],"['внешняя часть, поверхность']"
['外文'],['wàiwén'],['иностранный язык; иностранная письменность']
['完美'],['wánměi'],"['прекрасный, совершенный, идеальный; превосходный']"
['完善'],['wánshàn'],"['превосходный, совершенный; совершенствовать']"
['完整'],['wánzhěng'],['целостный; целый; законченный; цельный']
['玩具'],['wánjù'],"['игрушка, побрякушка, безделушка; забава']"
['往往'],['wǎngwǎng'],"['зачастую, часто']"
['危害'],['wēihài'],"['наносить ущерб; подвергать опасности, риску; создавать угрозу безопасности; вред']"
['危险'],['wēixiǎn'],['опасность; риск; опасный; угрожающий']
['为'],['wèi'],"['делать, действовать; действовать в качестве; становиться; быть, являться; используется вместе с 所 в страдательном залоге']"
['为'],['wèi'],"['для, ради, с целью']"
['围'],['wéi'],"['окружать, ограждать, осаждать; обхват рук; пядь, расстояние от большого до указательного пальца']"
['伟大'],['wěidà'],['великий; величие']
['卫生'],['wèishēng'],"['санитария, гигиена, здравоохранение']"
['卫生间'],['wèishēngjiān'],['туалет']
['为了'],['wèile'],"['для, ради, с целью, чтобы']"
['温暖'],['wēnnuǎn'],"['тёплый, мягкий, умеренный (о климате)']"
['文化'],['wénhuà'],['культура']
['文件'],['wénjiàn'],['документ; файл (комп.)']
['文明'],['wénmíng'],['цивилизация; культура; цивилизованный; культурный;']
['文学'],['wénxué'],['литература; литературный']
['文章'],['wénzhāng'],['статья; сочинение']
['文字'],['wénzì'],['письменность; письмо; письменные знаки']
['握手'],['wò shǒu'],['пожать руку; жать руку']
['屋子'],['wūzi'],['комната; квартира; дом']
['武器'],['wǔqì'],['оружие']
['武术'],['wǔshù'],['ушу; боевое искусство']
['舞台'],['wǔtái'],"['сцена, арена']"
['西部'],['xībù'],['западная часть']
['希望'],['xīwàng'],"['надежда, надеяться']"
['系'],['xì'],['система; генеалогия; связь; факультет; привязывать; связывать']
['下来'],['xià lái'],"['спускаться, выходить']"
['下面'],['xiàmiàn'],"['снизу; следующий; нижестоящий, подчиненный']"
['下去'],['xià qù'],"['спускаться, опускаться']"
['先进'],['xiānjìn'],"['передовой, прогрессивный']"
['显得'],['xiǎnde'],"['выглядеть, проявлять себя, казаться']"
['显然'],['xiǎnrán'],"['ясный, явный; очевидно; заметно; явно']"
['显示'],['xiǎnshì'],['продемонстрировать; показать; проявление; демонстрация']
['现场'],['xiànchǎng'],"['место (происшествия, проведения работ); на месте; на площадке']"
['现代'],['xiàndài'],['современный; новейший; современность']
['现金'],['xiànjīn'],['наличные деньги; валюта']
['现实'],['xiànshí'],['реальность; действительность; реальный; подлинный']
['现象'],['xiànxiàng'],"['явление; феномен; категория, проявление, признак']"
['线'],['xiàn'],"['нить, струна; хлопок, шерсть; транспортный путь, трасса; (геом.) линия; немного']"
['相比'],['xiāngbǐ'],['сравнивать с']
['相当'],['xiāngdāng'],['подходить; подходящий; соответствующий; довольно; достаточно']
['相关'],['xiāngguān'],"['касаться, быть связанным с, быть зависимым от; относиться к, касающийся']"
['相互'],['xiānghù'],"['взаимно, друг друга']"
['相似'],['xiāngsì'],['быть похожим; похожий; сходный; аналогичный; подобный; подобие']
['香'],['xiāng'],"['ароматный; вкусный; аппетитный; курительные свечи, курения']"
['香蕉'],['xiāngjiāo'],['банан']
['消费'],['xiāofèi'],['потреблять; потребление; потребительский']
['消失'],['xiāoshī'],"['исчезать, пропадать, сходить на нет; вымереть']"
['消息'],['xiāoxi'],"['новость, известие, сообщение, информация']"
['效果'],['xiàoguǒ'],"['результат, успех, эффект']"
['写作'],['xiězuò'],['писать; сочинять; творчество (писателя); творческий']
['血'],['xuè'],"['кровь, кровяной, кровавый; кровопролитный']"
['心'],['xīn'],"['сердце; мысль, настроение; чувство; желание; душа, дух; сердцевина, центр']"
['信'],['xìn'],['верить; исповедовать']
['信封'],['xìnfēng'],['конверт']
['信任'],['xìnrèn'],['доверие; доверять']
['行李'],['xíngli'],['багаж']
['形成'],['xíngchéng'],"['формироваться, складываться; формирование, образование']"
['形式'],['xíngshì'],"['форма; внешний вид, внешность, облик, фигура; тип, вид']"
['形象'],['xíngxiàng'],"['фигура, форма; образ; имидж; изображение; наружность; образный, изобразительный']"
['形状'],['xíngzhuàng'],"['внешний вид, форма; контур, силуэт, очертание; состояние']"
['幸福'],['xìngfú'],['счастье; благополучие; благосклонность судьбы; счастливый']
['幸运'],['xìngyùn'],"['счастливая возможность; удача, везение; счастье']"
['性'],['xìng( jījíxìng)'],"['природа, характер, нрав; натура, естество; врождённая склонность; темперамент; свойство, (врождённое) качество; пол; половой, сексуальный; грам. род']"
['性别'],['xìngbié'],['пол; половые различия']
['性格'],['xìnggé'],"['природа, характер, натура; темперамент']"
['修'],['xiū'],"['чинить, ремонтировать, исправлять']"
['修改'],['xiūgǎi'],"['изменять, вносить поправки, пересматривать, редактировать, переделывать']"
['需求'],['xūqiú'],"['потребность, спрос, запрос']"
['需要'],['xūyào'],"['нужно, нуждаться, необходимо, потребность, спрос']"
['宣布'],['xuānbù'],"['объявлять, опубликовывать, обнародовать, провозглашать; объявление, провозглашение']"
['宣传'],['xuānchuán'],"['пропагандировать; агитировать, распространять; пропаганда; агитация']"
['选手'],['xuǎnshǒu'],"['участник (соревнований), конкурсант, игрок']"
['学费'],['xuéfèi'],['плата за обучение']
['训练'],['xùnliàn'],"['обучать; готовить; подготовка, тренировать; дрессировать']"
['压'],['yā'],"['давить, жать; пригибать, подминать; сжимать, тискать; нажим, давление']"
['压力'],['yālì'],"['давление, сила давления']"
['烟'],['yān'],"['дым; сигарета, сигара; табак; (о дыме) разъедать']"
['眼前'],['yǎnqián'],"['перед глазами; теперь, в настоящее время']"
['演'],['yǎn'],"['исполнять, играть (пьесу, роль и пр.)']"
['演唱'],['yǎnchàng'],['петь на сцене']
['演唱会'],['yǎnchànghuì'],['вокальный концерт']
['演出'],['yǎnchū'],"['представлять; исполнять; представление, выступление']"
['演员'],['yǎnyuán'],"['артист, актёр']"
['羊'],['yáng'],"['овца, баран']"
