Слово,Пиньинь,Перевод слова
['阶段'],['jiēduàn'],"['этап; стадия, фаза, ступень; период']"
['街道'],['jiēdào'],['улица']
['节省'],['jiéshěng'],['экономия; сбережение ；экономить; беречь; сберегать; сокращать']
['结'],['jié'],"['узел, узелок, бантик, завязывать, заключать (союз); финал, концовка, окончание; заключительная строка (стихов); четвёртая строка четверостишия; концовка, заключение; заключительный']"
['结构'],['jiégòu'],"['конструкция, структура, строение, компоновка, устройство']"
['结论'],['jiélùn'],"['вывод, заключение; умозаключение; резюме']"
['姐妹'],['jiěmèi'],['сестры (старшая и младшая)']
['解释'],['jiěshì'],"['объяснять, разъяснять; толковать; толкование']"
['尽快'],['jǐnkuài'],"['во весь опор, изо всей мочи, как можно скорее, в кратчайшие сроки']"
['紧密'],['jǐnmì'],"['тесный, плотный, частый']"
['尽力'],['jìn lì'],['отдавать все силы; прилагать максимум усилий']
['进口'],['jìnkǒu'],"['импорт; импортный; импортировать, ввозить']"
['近代'],['jìndài'],['новая (современная) эпоха']
['禁止'],['jìnzhǐ'],"['прекратить, пресечь, запретить; запрещённый']"
['经典'],['jīngdiǎn'],['классика; классический; канон;']
['精力'],['jīnglì'],"['энергия, силы']"
['竟然'],['jìngrán'],"['в конце концов, в итоге; неожиданно; оказываться']"
['镜头'],['jìngtóu'],"['объектив (оптич. прибора); линза, кадр']"
['镜子'],['jìngzi'],['зеркало']
['究竟'],['jiūjìng'],"['в конце концов; в заключение всего, наконец; в конечном счёте']"
['酒吧'],['jiǔbā'],"['бар, паб, винная стойка, ночной клуб']"
['居民'],['jūmín'],['житель; население']
['居住'],['jūzhù'],"['проживать, жить']"
['局'],['jú'],"['бюро, контора, учреждение']"
['巨大'],['jùdà'],['крупный; огромный; грандиозный; колоссальный; гигантский']
['具备'],['jùbèi'],"['иметь, обладать, быть готовым, иметься в наличии']"
['距离'],['jùlí'],"['расстояние, дальность, промежуток, дистанция']"
['聚'],['jù'],['собираться вместе']
['聚会'],['jùhuì'],"['собираться, встречаться; встреча, собрание']"
['卷'],['juǎn'],"['свёртывать, скручивать; скатывать; наматывать; свёрток; рулон']"
['卷'],['juàn'],['свиток (картины); том; книга; экзаменационная работа']
['角色'],['juésè'],['роль; действующее лицо; персонаж']
['开花'],['kāi huā'],"['цвести; быть счастливым, ликовать']"
['开水'],['kāishuǐ'],['кипяток; кипяченая вода; кипящая вода']
['看不起'],['kànbuqǐ'],"['презирать, третировать; смотреть свысока']"
['看来'],['kànlai'],"['скорее всего, кажется, по-видимому']"
['看望'],['kànwàng'],"['посетить, навестить, нанести визит']"
['考察'],['kǎochá'],['обследовать; изучать; проверять']
['考虑'],['kǎolǜ'],"['думать, обдумывать, продумывать, размышлять']"
['棵'],['kē'],['сч. слово для деревьев и др. растений']
['可见'],['kějiàn'],"['видно, видимо, значит; отсюда очевидно; следовательно, таким образом']"
['空间'],['kōngjiān'],['пространство; пространственный; космическое пространство']
['空'],['kòng'],['освободить(ся); высвободить; свободный']
['口袋'],['kǒudai'],"['карман; сумка, мешок']"
['口语'],['kǒuyǔ'],"['разговорный язык, устная речь']"
['苦'],['kǔ'],['горький; горечь; тяжёлый; горький; горе; невзгоды']
['会计'],['kuàijì'],['бухгалтерия; отчётность; счетовод; бухгалтер']
['快递'],['kuàidì'],['срочная доставка']
['宽'],['kuān'],"['широкий, пространный; обширный, просторный']"
['宽广'],['kuānguǎng'],"['широкий, просторный; обширный, пространный']"
['矿泉水'],['kuàngquánshuǐ'],['минеральная водa']
['扩大'],['kuòdà'],['увеличивать; расширять; расширенный']
['扩展'],['kuòzhǎn'],"['расширять(ся), распространять(ся)']"
['括号'],['kuòhào'],['скобка (знак препинания)']
['垃圾'],['lājī'],"['мусор, отбросы']"
['拉开'],['lākāi'],"['раздвигать, растягивать']"
['辣'],['là'],['острый; крепкий']
['来不及'],['láibují'],"['не успеть, не поспеть, не управиться, не обернуться']"
['来得及'],['láidejí'],"['успеть, поспеть; управиться, обернуться']"
['来源'],['láiyuán'],['истоки; источник; происходить; исходить из']
['老公'],['lǎogōng'],['неформ. муж']
['老家'],['lǎojiā'],"['родной дом, родные места, родина']"
['老婆'],['lǎopó'],['жена; разг. баба']
['老实'],['lǎoshi'],"['честный, искренний; правдивый; простой; скромный; простодушный']"
['乐趣'],['lèqù'],['радость; отрада']
['泪'],['lèi'],['слеза']
['泪水'],['lèishuǐ'],"['слеза, слезинка']"
['类型'],['lèixíng'],"['тип, вид; форма; образец; тип']"
['冷静'],['lěngjìng'],"['невозмутимый, хладнокровный, спокойный, тихий, безлюдный']"
['厘米'],['límǐ'],['сантиметр']
['离不开'],['lí bù kāi'],"['быть неотделимым, быть неразрывно связанным с, никак не обходиться без']"
['力气'],['lìqi'],['сила; энергия']
['历史'],['lìshǐ'],['история']
['立即'],['lìjí'],"['сразу же, тут же, немедленно, тотчас']"
['利息'],['lìxī'],['проценты на капитал']
['利益'],['lìyì'],"['интересы; польза, выгода']"
['俩'],['liǎ'],['два; двое; оба; вдвоём; пара']
['良好'],['liánghǎo'],"['хороший, прекрасный, превосходный']"
['量'],['liáng'],"['измерять; взвешивать; отмеривать, отвешивать; вымеривать; исчислять; оценивать, учитывать']"
['粮食'],['liángshi'],"['продовольствие; продовольственный, пищевой']"
['两边'],['liǎngbian'],['оба конца; обе стороны; оба направления; по двум направлениям; с двух сторон']
['疗养'],['liáoyǎng'],"['лечить; выздоравливать, поправляться']"
['了不起'],['liǎobuqǐ'],"['необыкновенный, необычайный, замечательный; изумительный']"
['了解'],['liǎojiě'],"['понимать, узнавать']"
['列'],['liè'],"['ряд, строка; категория, вид, сорт; все, каждый; счетное слово для ряда']"
['列车'],['lièchē'],['поезд; состав']
['列入'],['lièrù'],"['вносить, включать']"
['列为'],['lièwéi'],"['причислять, относить к']"
['临时'],['línshí'],['когда наступит время; в нужный момент; временный']
['零食'],['língshí'],"['закуска, лёгкая еда, снэк, фаст-фуд; лакомство']"
['流传'],['liúchuán'],['иметь хождение; передаваться из уст в уста; распространяться']
['楼梯'],['lóutī'],['лестница']
['陆地'],['lùdì'],"['суша, континент, материк; земля']"
['陆续'],['lùxù'],"['непрерывно, последовательно, поочерёдно, один за другим']"
['录取'],['lùqǔ'],"['принять, зачислить']"
['律师'],['lǜshī'],"['адвокат, юрист']"
['轮'],['lún'],['колесо; делать что-то по очереди']
['轮船'],['lúnchuán'],['пароход']
['轮椅'],['lúnyǐ'],['инвалидное кресло']
['轮子'],['lúnzi'],['колесо; диск']
['论文'],['lùnwén'],['статья; трактат; диссертация']
['落'],['luò'],"['опадать; ронять; идти (об осадках); падать, опускаться']"
['毛巾'],['máojīn'],['полотенце']
['毛衣'],['máoyī'],['свитер']
['帽子'],['màozi'],"['головной убор, шапка']"
['没错'],['méicuò'],"['верно, правильно, да']"
['没法儿'],['méifǎér'],"['нет выхода, ничего не поделаешь']"
['没想到'],['méixiǎngdào'],"['не ожидал, вовсе не думал, никак не предполагал']"
['美金'],['měijīn'],['доллар США']
['美女'],['měinǚ'],"['красивая женщина, красавица, красотка']"
['梦'],['mèng'],"['мечта, сон']"
['梦见'],['mèngjiàn'],['видеть во сне']
['梦想'],['mèngxiǎng'],['мечтать; мечта; фантазия; мечтать; строить иллюзии']
['秘密'],['mìmì'],"['тайна, секрет; тайный, секретный']"
['秘书'],['mìshū'],['секретарь']
['密'],['mì'],"['густой, плотный; близкий, тесный; тонкий, тщательный; тайный, конфиденциальный']"
['密码'],['mìmǎ'],"['пароль, шифр, код, пин-код; шифрованный']"
['密切'],['mìqiè'],"['тесный, близкий, сблизить (об отношениях); пристально, внимательно; тщательно']"
['免费'],['miǎn fèi'],['бесплатный; освобождать от платы']
['面临'],['miànlín'],['стоять перед; стоять перед лицом; стоять перед кем-чем; лицом к лицу']
['面试'],['miànshì'],"['интервью, собеседование; проходить собеседование']"
['描述'],['miáoshù'],"['описывать, изображать']"
['描写'],['miáoxiě'],['описывать; изображать; рисовать; излагать; описание']
['名牌儿'],['míngpáir'],['известная марка']
['名片'],['míngpiàn'],"['визитная карточка, визитка']"
['名人'],['míngrén'],"['знаменитость, известная личность']"
['摸'],['mō'],"['делать на ощупь, нащупывать; пробовать, проверять']"
['模特儿'],['mótèr'],['модель']
['模型'],['móxíng'],"['модель, макет; муляж; тех. форма (напр., литейная)']"
['末'],['mò'],['конец; последняя стадия; незначительные детали']
['默默'],['mòmò'],"['молча, без слов; беззвучный']"
['哪怕'],['nǎpà'],"['хотя бы; пусть; даже если, даже когда']"
['哪'],"['nǎ, nǎi, něi,na, né']","['1) nǎ, разг. nǎi, něi какой?, который?; какой же? 2) nǎ, разг. nǎi, něi какой бы ни был, который бы ни случился; любой (с последующим отрицанием: никакой, никоторый)']"
['男女'],['nánnǚ'],['мужчины и женщины']
['男士'],['nánshì'],"['джентльмен, господин']"
['难免'],['nánmiǎn'],"['сложно избежать; неизбежный, неотвратимый']"
['脑袋'],['nǎodai'],"['голова, башка; ум, мозг']"
['闹'],['nào'],"['шумный; шуметь; беспокоить; давать волю (чувствам); болеть, страдать от; подшучивать над; делать, устраивать']"
['闹钟'],['nàozhōng'],['будильник']
['内部'],['nèibù'],['внутренняя часть; внутри; внутренний']
['内科'],['nèikē'],['внутренние болезни; терапия; терапевтическое отделение']
['能干'],['nénggàn'],"['работоспособный, дельный; способный, одарённый; работящий']"
['宁静'],['níngjìng'],"['спокойный, тихий']"
['浓'],['nóng'],['густой; плотный; концентрированный; крепкий; сочный (о цвете)']
['女士'],['nǚshì'],['госпожа; мадам; леди']
['暖气'],['nuǎnqì'],['центральное отопление']
['拍照'],['pāi zhào'],['фотографировать']
['排列'],['páiliè'],"['располагать, расставлять; расстановка; построить, выстроить']"
['牌'],['pái'],"['доска, табличка; бренд, марка; карты, домино, маджонг и т.д.; щит; мелодия в традиционной поэме или пьесе']"
['盘'],['pán'],"['тарелка, блюдо, поднос, лоток; предмет в форме тарелки или подноса; рыночная котировка, текущая цена; сч.слово партия (игры), блюдо, катушка, виток']"
['盘子'],['pánzi'],['тарелка; блюдо; поднос']
['胖子'],['pàngzi'],"['толстяк, толстый человек']"
['培训'],['péixùn'],['готовить; растить; обучать; тренировать']
['培训班'],['péixùnbān'],"['дополнительный учебный курс, кружок, секция']"
['培养'],['péiyǎng'],['вскармливать; выращивать; развивать; культивировать']
['培育'],['péiyù'],"['выращивать; культивировать; воспитывать, обучать']"
['批'],['pī'],['критиковать; ставить резолюцию (на документе от подчиненного); покупать оптом']
['批'],['pī'],"['партия, группа']"
['片面'],['piànmiàn'],['односторонний; однобокий']
['品质'],['pǐnzhì'],['1) (моральные) качества 2) качество (напр. товара)']
['平方'],['píngfāng'],['квадрат; квадратный']
['平静'],['píngjìng'],"['спокойный; тихий; утихнуть, успокоиться']"
['平均'],['píngjūn'],"['средний; в среднем, средним числом, уравнительный; уравнение, поровну']"
['平稳'],['píngwěn'],"['устойчивый, стабильный, ровный']"
['迫切'],['pòqiè'],"['срочный, актуальный, насущный, настойчивый']"
['破产'],['pò chǎn'],"['обанкротиться, разориться; банкротство, разорение']"
['妻子'],['qīzi'],['жена']
['期待'],['qīdài'],['надеяться на что-либо; ждать чего-либо; надежда; ожидания']
['期间'],['qījiān'],['период; промежуток времени; срок; стадия; эпоха']
['期末'],['qīmò'],['конец семестра']
['期限'],['qīxiàn'],"['крайний срок, временной предел, лимит времени']"
['期中'],['qīzhōng'],['середина семестра']
['其余'],['qíyú'],"['остальной, прочий, другой; остаток, излишек']"
['企业'],['qǐyè'],['предприятие; предпринимательство']
['气球'],['qìqiú'],"['воздушный шар, аэростат; баллон']"
['汽水'],['qìshuǐ'],['газированная вода']
['汽油'],['qìyóu'],['бензин']
['器官'],['qìguān'],['орган; органы; аппарат']
['前头'],['qiántou'],"['перед, впереди']"
['前途'],['qiántú'],['перспективы; будущее; будущность; лежащий впереди путь']
['浅'],['qiǎn'],"['неглубокий; поверхностный; неширокий, малый, узкий; светло-, бледно']"
['巧克力'],['qiǎokèlì'],['шоколад']
['切'],['qiē'],"['резать, нарезать; разрезать, рассекать']"
['亲爱'],['qīnài'],['дорогой; любимый']
['亲密'],['qīnmì'],['близкий (об отношениях); интимный']
['青春'],['qīngchūn'],"['молодость, юность; весенняя пора жизни']"
['轻松'],['qīngsōng'],['лёгкий; непринуждённый; расслабиться']
['轻易'],['qīngyì'],"['лёгкий; легко; необдуманный; легкомысленно, опрометчиво']"
['清醒'],['qīngxǐng'],['ясный; трезвый; прийти в себя; очнуться']
['情景'],['qíngjǐng'],"['ситуация; сценарий; картина; сцена; обстановка, обстоятельства']"
['穷'],['qióng'],['бедный; нищий; иссякать; кончаться']
['穷人'],['qióngrén'],"['бедняк, бедный человек']"
['秋季'],['qiūjì'],['осенний сезон; осень; осенний']
['趋势'],['qūshì'],['основное направление; тенденция']
['圈'],['quān'],"['кольцо; круглое отверстие; круг, окружность']"
['权利'],['quánlì'],['право; юридическое право; прерогатива']
['却'],['què'],['однако; но; тем не менее; (в соч.) отступать; отходить назад']
['确认'],['quèrèn'],['признать; констатировать; подтверждение']
['然而'],['ránér'],"['но, однако; тем не менее']"
['燃料'],['ránliào'],"['топливо, горючее']"
['燃烧'],['ránshāo'],['возгорание; воспламенение; горение; зажигать; воспламенять']
['热闹'],['rènao'],['оживлённый; людный; шумный; веселье; весёлый']
['热心'],['rèxīn'],"['энтузиазм, воодушевление; энтузиаст; одержимый идеей; сердечный; горячий; усердный; прилежный; ревностный']"
['人家'],"['rénjiā, rénjia']","['5) 1) дом, двор; семейный очаг; жилище 2) частная квартира, жилой (частный) дом 3) фамилия, семья, семейство 4) человек (как представитель профессии) 5)rénjia мест. (часто безлично) другой человек, другие, чужие; кто-то; человек( намек на себя)']"
['日记'],['rìjì'],"['дневник, ежедневник']"
['日历'],['rìlì'],['календарь; настенный отрывной ежедневный календарь']
['如今'],['rújīn'],['ныне; теперь; в настоящее время']
['弱'],['ruò'],['слабый; хилый; малолетний']
['伞'],['sǎn'],['зонтик']
['散'],['sǎn; sàn'],"['sàn расходиться, разбредаться; разбегаться, рассеиваться;досу, безделье, бокал; sǎn рассыпаться, разваливаться; распадаться; расформировываться; порошок']"
['扫'],['sǎo'],"['мести, выметать; сметать, подметать; вытирать; чистить; стирать; устарнять, удалять']"
['色'],['sè'],"['цвет, окраска; краска; тон; оттенок; крашеный, цветной; красочный; цвет лица, выражение лица']"
['色彩'],['sècǎi'],"['окраска, цвет; колер, колорит; оттенок (цвета)']"
['森林'],['sēnlín'],['лес; леса; лесной']
['晒'],['shài'],['сохнуть (на солнце); греться; загорать']
['闪'],['shǎn'],"['сверкнуть, мелькнуть; увернуться, скрыться, отскочить; вывихнуть, растянуть (часть тела); (диал.) оставить, бросить']"
['闪电'],['shǎndiàn'],['молния; зарница']
['善良'],['shànliáng'],['достойный; порядочный; добросердечный']
['善于'],['shànyú'],['быть искусным в чём-либо; хорошо уметь']
['伤害'],['shānghài'],['вредить; повреждать; наносить повреждения']
['商务'],['shāngwù'],"['торговые, коммерческие дела; коммерческая деятельность']"
['赏'],['shǎng'],"['награждать; любоваться, наслаждаться; ценить, почитать; удостаивать своим присутствием; награда']"
['上个月'],['shàng ge yuè'],['прошлый месяц']
['上楼'],['shànglóu'],"['подниматься, идти наверх']"
['上门'],['shàng mén'],"['приходить к кому-то, посещать, заглядывать в гости']"
['烧'],['shāo'],"['жечь, зажигать; греть, нагревать; переудобрять, вносить много удобрений; лихорадить, температурить; жар; (разг.) высокомерный, спесивый']"
['设施'],['shèshī'],['устройство; оборудование']
['设置'],['shèzhì'],['учредить; основать; соорудить; установить']
['申请'],['shēnqǐng'],"['подавать заявление, ходатайствовать, просить; заявление, заявка, ходатайство']"
['身材'],['shēncái'],['фигура; телосложение; рост']
['身份'],['shēnfèn'],"['положение (социальное); юридическое состояние; квалификация, звание, ранг, личность']"
['身高'],['shēngāo'],['рост']
['深厚'],['shēnhòu'],"['глубокий, крепкий']"
['神话'],['shénhuà'],['миф; сказка; легенда']
['神秘'],['shénmì'],['мистика; таинственный; загадочный; мистический']
['甚至'],['shènzhì'],"['вплоть до того, что; даже']"
['失败'],['shībài'],"['потерпеть поражение (неудачу), провалиться; поражение, неудача']"
['失望'],['shīwàng'],['потерять надежду; разочароваться; разочарование']
['失业'],['shī yè'],['остаться без работы; безработный; безработица']
['诗'],['shī'],"['стихи, поэзия ; стихотворный, поэтический']"
['诗人'],['shīrén'],['поэт']
['湿'],['shī'],"['мокрый, влажный; (кит. мед.) влажность (как один из внешних факторов, способствующих развитию болезни)']"
['实施'],['shíshī'],"['осуществлять на деле, проводить в жизнь, претворять в жизнь, реализовывать']"
['实用'],['shíyòng'],['использовать на практике; практический; прикладной']
['食堂'],['shítáng'],['столовая']
['使劲'],['shǐ jìn'],"['прилагать все силы, стараться изо всех сил']"
['士兵'],['shìbīng'],['рядовой; солдат; солдатский']
['市区'],['shìqū'],"['район города, городской район']"
['似的'],['shìde'],"['совсем как, словно, подобно; вроде, как будто']"
['事物'],['shìwù'],"['вещь, предмет, объект']"
['事先'],['shìxiān'],"['заранее, предварительно, заблаговременно, наперёд']"
['试卷'],['shìjuàn'],['экзаменационная работа (письменная)']
['是否'],['shìfǒu'],"['(вопр. сл.) да или нет?, не...ли?; разве не...?']"
['收回'],['shōu huí'],"['брать обратно, забирать, отменять, отзывать']"
['收获'],['shōuhuò'],"['собрать урожай; урожай; достижение, результаты; успехи']"
['收益'],['shōuyì'],['доход; прибыль; рентабельность']
['手工'],['shǒugōng'],"['рукоделие, ручной труд; ремесло, ремесленный']"
['手里'],['shǒu li'],"['в руках, при себе']"
['手术'],['shǒushù'],['операция; хирургическое вмещательство']
['手套'],['shǒutào'],"['перчатки, рукавицы, варежки']"
['守'],['shǒu'],"['сохранять, поддерживать; соблюдать; охранять; смотреть за; быть рядом с']"
['首'],['shǒu'],['счетное слово для песен и стихов']
['受不了'],['shòubùliǎo'],"['не стерпеть, не вынести; невыносимый, нестерпимый']"
['售货员'],['shòuhuòyuán'],"['продавец, консультант в магазине']"
['叔叔'],['shūshu'],['дядя; младший брат папы']
['舒适'],['shūshì'],['уютный; комфортабельный; удобный']
['熟练'],['shúliàn'],['квалифицированный; опытный; хорошо подготовленный']
['暑假'],['shǔjià'],['летние каникулы; летний отпуск']
['树林'],['shùlín'],['лес']
['树叶'],['shùyè'],"['листва, лист']"
['数据'],['shùjù'],"['данные, статистика, цифры']"
['数码'],['shùmǎ'],"['цифра, число, количество, цифровой, числовой; цифровой код; численное поле']"
['刷'],['shuā'],"['щётка; кисть; чистить (щеткой); шелест, шорох']"
['刷牙'],['shuāyá'],['чистить зубы']
['刷子'],['shuāzi'],['щетка']
['帅'],['shuài'],"['красивый, привлекательный (о мужчине); полководец']"
['帅哥'],['shuàigē'],"['красивый мужчина, симпатичный парень, красавчик']"
['率先'],['shuàixiān'],"['возглавлять, идти в первых рядах, быть первым (в чём-либо)']"
['睡着'],['shuìzháo'],"['спать, во сне; засыпать']"
['顺序'],['shùnxù'],['порядок; очередь; по порядку; по очереди']
['说不定'],['shuōbudìng'],"['возможно; может быть; кто знает...; может случиться, что...']"
['说服'],['shuōfú'],"['уговорить, убедить; убеждение']"
['思考'],['sīkǎo'],"['азмышлять, продумывать; анализировать; мыслить; мысль']"
['似乎'],['sìhū'],"['похоже, что...; кажется, по-видимому, как будто']"
['松'],['sōng'],"['сосна; сосновый; взлохмаченный, всклокоченный; распуститься, развязаться']"
['松树'],['sōngshù'],['сосна']
['塑料'],['sùliào'],"['пластмасса, пластик']"
['塑料袋'],['sùliàodài'],['пластиковый пакет']
['酸'],['suān'],['кислый; прокиснуть; (хим.) кислота; ныть; болеть']
['酸奶'],['suānnǎi'],['йогурт']
['随手'],['suíshǒu'],"['сразу, тотчас; по ходу дела, тут же; попутно, по пути']"
['孙女'],['sūnnǚ'],['внучка']
['孙子'],['sūnzi'],['дети и внуки; внук (сын сына)']
['缩短'],['suōduǎn'],"['укорачивать; сокращать; сжимать; сжатый, короткий']"
['缩小'],['suōxiǎo'],"['уменьшать(ся), сжимать(ся), суживать(ся)']"
['台阶'],['táijiē'],"['лестница; ступени лестницы; перен. ступень; продвижение по службе, служебной лестнице']"
['台上'],['táishàng'],['на сцене']
['躺'],['tǎng'],['лечь; лежать (о человеке)']
['套餐'],['tàocān'],"['комплект блюд, сэт, комбо; пакет услуг']"
['特价'],['tèjià'],"['специальная цена, сниженная цена']"
['特殊'],['tèshū'],"['особый, специфический, частный; своеобразный; оригинальный']"
['特征'],['tèzhēng'],['характерный признак; отличительная черта']
['提供'],['tígōng'],"['предоставлять, поставлять, снабжать, обеспечивать; обеспечение, поставка, предоставление']"
['提醒'],['tí xǐng'],"['напоминать, делать напоминание, обращать внимание, уведомление; замечание']"
['体操'],['tǐcāo'],['гимнастика']
['体检'],['tǐjiǎn'],['медицинский осмотр; проходить медицинский осмотр']
['体重'],['tǐzhòng'],"['вес тела, масса тела']"
['替'],['tì'],"['отменять, упразднять, аннулировать; сбрасывать со счетов, списывать (в расход)']"
['替代'],['tìdài'],"['заменять, замещать; замена, альтернатива']"
['天真'],['tiānzhēn'],['наивный; непосредственный']
['填'],['tián'],"['заполнять (документ); восполнять (недостаток чего-либо); заполнять, набивать']"
['填空'],['tián kòng'],['заполнять пустые места']
['挑'],['tiāo'],"['нести на коромысле, нести на плечах; выбирать, отбирать, избирать; груз, ноша']"
['挑选'],['tiāoxuǎn'],"['выбирать, подбирать']"
['调皮'],['tiáopí'],"['капризный, непослушный, баловаться, озорничать  ']"
['挑'],['tiǎo'],"['возбуждать, вызывать; провоцировать, подстрекать; поднимать; приподнимать, подбирать']"
['挑战'],['tiǎo zhàn'],"['вызов, проблема, бросать вызов']"
['贴'],['tiē'],['клеить; держаться близко к; помогать (деньгами)']
['停下'],['tíngxià'],"['останавливаться, остановиться']"
['挺'],['tǐng'],"['выпячивать; выдерживать, сносить']"
['通知书'],['tōngzhīshū'],['письменное уведомление']
['同情'],['tóngqíng'],"['сочувствие, симпатия; солидарность; сочувствовать, симпатизировать']"
['童话'],['tónghuà'],"['детский рассказ, сказка']"
['童年'],['tóngnián'],"['детство, детские годы']"
['统计'],['tǒngjì'],['статистика; статистический; учесть; подсчитать; учёт']
['统一'],['tǒngyī'],['объединить(ся); объединение; единый; единство']
['痛快'],['tòngkuài'],"['весёлый, радостный']"
['投'],['tóu'],"['отправлять, посылать; бросать, кидать; бросаться в; соглашаться с; проектировать; класть в, вкладывать; участвовать в, присоединяться; (разг.) полоскать']"
['投入'],['tóurù'],"['вложить (средства); (капитало)вложения, ввести (напр., в действие), броситься (напр., в объятия); вступить (напр., в бой)']"
['投诉'],['tóusù'],"['жалоба; жаловаться, подавать жалобу']"
['投资'],['tóuzī'],"['инвестировать, вкладывать капитал; капиталовложение, инвестиция']"
['透'],['tòu'],"['раскрывать, обнаруживать; полный, исчерпывающий']"
['透明'],['tòumíng'],['прозрачный; пропускать свет']
['图案'],['túàn'],"['орнамент; узор; рисунок (напр., ткани); схема; чертёж']"
['途中'],['túzhōng'],"['в пути, на пути, по дороге']"
['土地'],['tǔdì'],"['земля; почва, земельный, территория']"
['推迟'],['tuīchí'],"['спускать на тормозах, замедлять; отсрочивать; откладывать; не торопиться (с чём-либо)']"
['推销'],['tuīxiāo'],"['сбывать, реализовать; сбыт, реализация']"
['脱'],['tuō'],"['снять (одежду, обувь); слезать (о коже); выпасть (о волосах); опасть (о листьях); пропустить']"
['袜子'],['wàzi'],['носки']
['外汇'],['wàihuì'],['заграничный денежный перевод; валюта']
['外交官'],['wàijiāoguān'],['дипломат']
['外套'],['wàitào'],"['пальто, шинель, верхнее платье, куртка']"
['弯'],['wān'],"['гнуть, сгибать; изогнутый, извилистый; изгиб, поворот']"
['晚点'],['wǎn diǎn'],"['опаздывать, задерживаться, отставать от графика']"
['万一'],['wànyī'],"['мельчайшая часть, ничтожная доля; на случай если бы...; если бы по чистой случайности; случай, случайность; в крайнем случае']"
['王'],['wáng'],"['князь; царь, король; император, государь, монарх; княжеский, царский, королевский; государев; царствовать, княжить']"
['网络'],['wǎngluò'],['Интернет; сеть']
['网址'],['wǎngzhǐ'],"['адрес в Интернете, URL']"
['微笑'],['wēixiào'],['(лёгкая) улыбка; улыбаться']
['微信'],['wēixìn'],['Вичат']
['围巾'],['wéijīn'],['шаль; шарф; кашне']
['维持'],['wéichí'],"['поддерживать, сохранять; защищать; обеспечивать']"
['维护'],['wéihù'],"['защищать, оберегать, охранять; (тех.) уход, обслуживание; хранить, сохранять']"
['维修'],['wéixiū'],"['профилактический ремонт, техническое обслуживание']"
['尾巴'],['wěiba'],['хвост']
['未必'],['wèibì'],"['вряд ли, едва ли; не обязательно']"
['未来'],['wèilái'],"['будущее, грядущее; будущий']"
['位于'],['wèiyú'],['располагаться; находиться']
['位置'],['wèizhi'],"['позиция, местонахождение; положение; ориентация; место, пост']"
['味儿'],['wèir'],"['вкус, запах; интерес; тон, акцент']"
['喂'],['wèi'],"['кормить (человека), давать пищу (животному)']"
['稳'],['wěn'],"['устойчивый, стабильный, крепкий; (о человеке) степенный, надежный; точный, уверенный; делать стабильным, стабилизировать']"
['稳定'],['wěndìng'],['стабильный; устойчивый; стабилизировать; стабильность; устойчивость']
['问候'],['wènhòu'],['приветствовать; справляться о здоровье (самочувствии); передавать привет']
['无'],['wú'],['не; не иметь; без']
['无法'],['wúfǎ'],"['не находить способа, быть не в силах']"
['无聊'],['wúliáo'],['скука; скучный; бессмысленный; пустой; неинтересный']
['无论'],['wúlùn'],"['независимо от ч-л; несмотря на то, что']"
['无数'],['wúshù'],['бесчисленный; несметный']
['无所谓'],['wúsuǒwèi'],"['несущественно; не имеет значения; всё равно; трудно сказать, нельзя сказать']"
['无限'],['wúxiàn'],"['неограниченный, бесконечный']"
['五颜六色'],['wǔyán-liùsè'],"['разноцветный, красочный']"
['误会'],['wùhuì'],"['ошибочно понимать, иметь неправильное представление; недоразумение']"
['西瓜'],['xīguā'],['арбуз']
['吸'],['xī'],['впитывать; всасывать; привлекать']
['吸管'],['xīguǎn'],"['соломинка, трубочка']"
['吸收'],['xīshōu'],"['всасывать, впитывать, поглощать; всасывание; (хим., физ.) абсорбция; абсорбировать']"
['吸烟'],['xīyān'],['курить']
['吸引'],['xīyǐn'],['вовлекать; привлекать; перен.втягивать']
['喜爱'],['xǐài'],['любить; нравиться']
['系列'],['xìliè'],"['серия, коллекция; ряд']"
['系统'],['xìtǒng'],"['система; порядок; формация; системный, систематичный, упорядоченный; блок, агрегат']"
['细'],['xì'],"['тонкий, стройный; неважный, маленький; узкий; слабый; (о голосе, звуке) мягкий; мелкий, крошечный; тонкий, деликатный; тщательный']"
['细节'],['xìjié'],"['мелочи; детали, подробности; детальный, подробный']"
['细致'],['xìzhì'],"['кропотливый, тщательный, детальный; тонкий; филигранный; точный']"
['下个月'],['xiàgèyuè'],['следующий месяц']
['下降'],['xiàjiàng'],"['снижаться, опускаться, падать']"
['下楼'],['xià lóu'],"['идти вниз, спускаться']"
['下载'],['xiàzǎi'],"['загружать, скачивать']"
['夏季'],['xiàjì'],['летний сезон; лето']
['鲜'],['xiān'],"['свежий; (о красках) яркий; вкусный, приятный на вкус']"
['鲜花'],['xiānhuā'],['свежие цветы']
['鲜明'],['xiānmíng'],"['яркий; отчётливый, чёткий, ясный']"
['咸'],['xián'],['соленый']
['显著'],['xiǎnzhù'],"['очевидный, явный, всем известный, несомненный']"
['县'],['xiàn'],['уезд (админ. единица) ; уездный']
['限制'],['xiànzhì'],['ограничить; ограничение; ограниченный']
['相处'],['xiāngchǔ'],['вместе жить; вместе работать; обходиться друг с другом; сосуществовать']
['相反'],['xiāngfǎn'],['противоположный; противоположность; напротив; наоборот']
