character,pinyin,definitions
看管,kānguǎn,"следить за, присматривать за, стеречь, караулить"
看得见,kàndejiàn,"можно видеть, видимый"
看得起,kàndeqǐ,"проявлять уважение к, быть высокого мнения о"
看好,kànhǎo,"высоко ценить, поддерживать; оптимистичный, уверенный"
看作,kànzuò,рассматривать как; принимать за
康复,kāngfù,"выздоравливать, поправляться"
抗议,kàngyì,протест; заявлять протест
考场,kǎochǎng,"место проведения экзамена, экзаменационное помещение"
考题,kǎotí,"экзаменационные вопросы, экзаменационная тема"
科研,kēyán,научное исследование
客车,kèchē,пассажирский поезд; пассажирский вагон; автобус дальнего следования
肯,kěn,"соглашаться; хотеть, быть готовым"
空军,kōngjūn,военно-воздушные силы
口试,kǒushì,сдавать устный экзамен; устный экзамен
扣,kòu,"удерживать, сдерживать; задерживать, арестовывать; удерживать, производить удержания (вычеты); уценивать; делать скидку"
酷,kù,"клевый, крутой"
跨,kuà,шагать; ступать; перешагивать; переходить через; переступать
快车,kuàichē,скорый поезд
宽阔,kuānkuò,"широкий, просторный, обширный"
矿,kuàng,"шахта, рудник, прииск; руда, ископаемое сырье"
阔,kuò,"широкий, просторный; богатый, пустой, непрактичный"
啦,lā,"конечная частица, подчёркивающая: а) удовлетворение; б) становление действия; в) завершённость действия; после существительного выделяет его"
来往,láiwǎng,"приходить и уходить; водить знакомство, общаться; отношения"
赖,lài,"отказываться от своего слова; перекладывать вину на другого; винить; полагаться на; оставаться на одном месте, не желать уходить; (разг.) хороший"
栏目,lánmù,"рубрика, раздел, каталог; программа"
蓝领,lánlǐng,«синий воротничок» (работник физического труда)
蓝天,lán tiān,голубое небо
懒,lǎn,ленивый
牢,láo,"тюрьма; крепкий, прочный, надежный"
老乡,lǎoxiāng,"земляк (также обращение к незнакомцу); селяне, крестьяне"
冷气,lěngqì,кондиционирование воздуха; холодный воздух
冷水,lěngshuǐ,(холодная) вода; сырая вода
礼堂,lǐtáng,актовый зал
理,lǐ,"обращать внимание на; управлять, ведать (делами); упорядочивать, приводить в порядок; текстура (напр., дерева, кожи); причина; естественные науки, физика"
理财,lǐ cái,"управлять финансами, заведовать денежными делами"
理智,lǐzhì,"разум, рассудок; ум, интеллект; разумный, здравомыслящий"
力,lì( yǐngxiǎnglì),"сила (мускульная), мощь; сила, способность, острота(степень)"
利,lì,"острый; бойкий на язык; благоприятный, выгодный; польза, выгода; прибыль; процент; приносить пользу"
联盟,liánméng,"союз, лига; объединение, коалиция, блок, консорциум"
联赛,liánsài,лига
联手,liánshǒu,"браться за руки, действовать сообща"
凉鞋,liángxié,"сандалии, босоножки"
两侧,liǎngcè,двусторонний; билатеральный; с двух сторон
两手,liǎngshǒu,"обе руки, обеими руками"
聊,liáo,"болтать, судачить; полагаться; (книжн.) пока; (книжн.) немного, слегка"
聊天儿,liáo tiānr,"болтать, разговаривать"
料,liào,"предполагать, ожидать; заботиться о"
料,liào,"материал, сырье; задатки, качества; корм для скота; суррогат, подделка;удобрение; таблетка; дрянь, негодяй"
裂,liè,"трескаться, раскалываться, разламываться"
灵活,línghuó,"живой, подвижный; быстрый"
领取,lǐngqǔ,"забирать, получать"
领袖,lǐngxiù,вождь; лидер
另,lìng,"другой, иной; к тому же, кроме того, в придачу"
留言,liúyán,оставлять сообщение; сообщение
流感,liúgǎn,"грипп, инфлюэнца; эпидимический"
楼道,lóudào,"коридор, проход"
楼房,lóufáng,многоэтажное здание
露,lòu,"появляться; проявляться, выходить наружу; получать огласку (также модификатор результативных глаголов, означающий проявление, разгласку)"
陆军,lùjūn,"сухопутные войска, армия"
录像,lùxiàng,"записывать, снимать (на пленку); запись, видео"
录音机,lùyīnjī,"магнитофон, диктофон"
路过,lùguò,"проходить мимо, проезжать через"
露,lù,"показаться, обнаруживать; открытый, обнажённый; роса; капля росы, росинка; на росе (под открытым небом); эссенция, сироп,сок, настойка"
旅店,lǚdiàn,"гостиница, отель"
绿化,lǜhuà,"озеленять, украшать зелеными насаждениями"
马车,mǎchē,"повозка, телега, экипаж, карета"
嘛,ma,"же, ведь"
埋,mái,"хоронить, зарывать; (обр.) прятать(ся), скрывать(ся)"
馒头,mántou,"хлебец, приготовленный на пару; пампушка; маньтоу; шутл. грудь"
慢车,mànchē,"медленный поезд; поезд, идущий с остановками"
盲人,mángrén,"слепой, слепец"
梅花,méihuā,"цветы сливы, сливовый цвет"
美容,měiróng,"наводить красоту, делать косметические процедуры"
蒙,mēng,"обманывать, дурачить; гадать, строить догадки; растеряться, запутаться; потерять сознание"
蒙,méng,"покрывать, обволакивать; скрывать, утаивать; закрывать (уши, глаза); окутывающий; глупый, несмышлёный; непросвещённый, невежественный, тёмный"
猛,měng,"свирепый; энергичный, оживленный; внезапно, резко; энергично; (разг.) сколько душе угодно"
棉,mián,"хлопок; предмет, похожий на вату"
免得,miǎnde,"избежать, освободиться от , избавиться от; во избежание; чтобы не"
面对面,miànduìmiàn,лицом к лицу
面向,miànxiàng,"стоять лицом к, выходить на, быть направленным к, ориентироваться на"
妙,miào,"тонкий; замечательный; умный, искусный, чудесный"
灭,miè,"гаснуть; гасить, тушить; погибать; уничтожать, истреблять"
民歌,míngē,народная песня
民工,míngōng,"сезонные рабочие, рабочие-мигранты; приезжий рабочий"
民警,mínjǐng,"народная полиция, полицейский"
民意,mínyì,"воля или желание народа, общественное мнение"
民主,mínzhǔ,демократия; демократический
名额,míngé,"установленное число (людей); штатное расписание, штат, количество мест"
名胜,míngshèng,достопримечательность
名义,míngyì,"имя, внешность"
名誉,míngyù,"доброе имя, репутация; честь; почётный"
明日,míngrì,"завтра, назавтра, на следующий день; яркое солнце, ясный день"
命,mìng,"приказ, распоряжение"
膜,mó,перепонка; плёнка; оболочка; покрытие
磨,mó,"точить, шлифовать, полировать; тереть; уничтожать, стирать; тянуть (время); изнашивать, истачивать; изводить, донимать"
没收,mòshōu,"конфисковать, изъять, экспроприировать"
墨水,mòshuǐ,"чернила, краска; грамотность"
母,mǔ,"мать; старшее поколение по женской линии; (обр.) начало, истоки; гайка"
母鸡,mǔjī,курица
母女,mǔnǚ,мать и дочь
母子,mǔzǐ,мать и ребенок; материнская и дочерняя компании
墓,mù,могила; захоронение; гробница; мавзолей
拿走,názǒu,"уносить, забирать"
奶粉,nǎifěn,"сухое молоко, молочный порошок"
奶牛,nǎiniú,дойная корова
难忘,nánwàng,незабываемый
内地,nèidì,"внутренняя территория, внутренний район страны"
内外,nèiwài,"внутри и снаружи, отечественный и зарубежный; примерно"
内衣,nèiyī,нижнее белье
能否,néngfǒu,"можно ли, можно или нет"
泥,ní,"грязь, размокшая почва; пюре, измельченная масса"
扭,niǔ,"растягивать, выворачивать; крутить; поворачивать; покачиваться, извиваться; схватываться с, сцепляться с"
排行榜,páihángbǎng,"рейтинг, список, хит- парад"
派出,pàichū,"посылать, отправлять"
判,pàn,"решать, судить; осуждать, выносить приговор"
盼望,pànwàng,надеяться; ждать
泡,pào,"вымачивать, пропитывать, замачивать; убивать (время), бездельничать; пузырь, предмет в форме пузыря"
炮,pào,"орудие, пушка; хлопушка, петарда; взрывная скважина, заполненная динамитом"
陪同,péitóng,сопровождать
配置,pèizhì,"размещать, распределять; конфигурация; размещение"
皮球,píqiú,мяч
偏,piān,"намеренно, умышленно, настойчиво; отклоняться от верного направления или нормы"
贫困,pínkùn,бедный; нищий; бедность; нищета
品牌,pǐnpái,"марка, бренд"
聘请,pìnqǐng,"приглашать, предлагать (поступить на службу, занять должность); ангажировать, нанимать"
平凡,píngfán,"обыкновенный, простой; обыденный, заурядный, банальный"
平方米,píngfāngmǐ,квадратный метр
平衡,pínghéng,"равновесие, баланс, эквилибр"
平台,píngtái,"терраса, платформа"
评,píng,"комментировать, критиковать, судить, оценивать"
评选,píngxuǎn,присвоить; отобрать
屏幕,píngmù,"экран, монитор, дисплей"
坡,pō,"склон, покатость, откос; скат"
扑,pū,бросаться на; кинуться; бить; выбивать; хлопать (крыльями)
铺,pū,расстилать; стелить; мостить; укладывать
欺负,qīfu,"обижать, помыкать, притеснять; обманывать"
奇妙,qímiào,удивительный; поразительный; захватывающий
企图,qǐtú,пытаться; попытка; намереваться
起点,qǐdiǎn,"начало, отправная точка; (спорт) старт"
起诉,qǐsù,"подавать в суд, предъявлять иск"
气氛,qìfēn,"атмосфера, обстановка, настроение"
恰当,qiàdàng,"соответствующий, подходящий, уместный"
恰好,qiàhǎo,"в самый раз, точь в точь; кстати, удачно, по совпадению"
恰恰,qiàqià,"как раз, точь-в-точь"
牵,qiān,"тянуть, тащить, вести"
铅笔,qiānbǐ,карандаш
谦虚,qiānxū,скромный; смиренный; тактичный; скромность; скромничать
前方,qiánfāng,"впереди; фронт, передовая линия"
前来,qiánlái,"приходить, прибывать; раннее пришедший (полученный); вперёд(сюда)"
潜力,qiánlì,потенциал; потенциальный; перен. перспективы
强盗,qiángdào,"бандит, грабитель"
强化,qiánghuà,"усиливать, укреплять"
强势,qiángshì,"сила, мощь; сильный, мощный, могущественный"
强壮,qiángzhuàng,сильный
桥梁,qiáoliáng,мост
巧妙,qiǎomiào,искусный; умелый; тонкий; ловкий; хитроумный
茄子,qiézi,баклажан
切实,qièshí,"реальный; действительный; по-настоящему, как следует"
侵犯,qīnfàn,"вмешиваться; нарушать, посягать, вторгаться, нарушать границу"
亲属,qīnshǔ,"родня, родственник, род"
亲眼,qīnyǎn,"собственными глазами, воочию"
倾向,qīngxiàng,тенденция; склонность; склоняться к чему- либо; тяготеть к чему-либо
清,qīng,"чистый; ясный, четкий; считать; рассчитываться (по счету), уплачивать"
清洁,qīngjié,чистый; чистота
清洁工,qīngjiégōng,"уборщик, уборщица"
清明节,Qīngmíng Jié,"праздник Цинмин, (традиционный китайский праздник поминовения усопших, отмечается на 104-й день после зимнего солнцестояния или 15-й день после весеннего равноденствия)"
清洗,qīngxǐ,"мыть, очищать, полоскать"
情绪,qíngxù,"настроение, переживание, чувство, эмоция"
求职,qiúzhí,"искать работу, поиск работы"
球拍,qiúpāi,ракетка
球星,qiúxīng,спортивная звезда в играх с мячом
球员,qiúyuán,игрок (в играх с мячом)
区分,qūfēn,отличать; различать; разделять
渠道,qúdào,канал; способ; метод
取款,qǔkuǎn,"забирать деньги из банка, снимать деньги со счета"
取款机,qǔkuǎnjī,банкомат
去掉,qùdiào,"избавляться от, удалять, устранять"
权,quán,"право; сила, власть; временно, пока; власть, сила, авторитет"
权力,quánlì,"власть, могущество; полномочие"
全力,quánlì,"все силы, вся энергия, все возможные усилия"
全新,quánxīn,"совершенно новый, новейший"
券,quàn,"билет, чек; денежная купюра; контракт, документ, расписка, сертификат"
缺陷,quēxiàn,"недоставать, не хватать; недостаток, изъян"
却是,quèshì,"но, тем не менее, все же"
让座,ràng zuò,уступать место
热点,rèdiǎn,горячая точка
热水,rèshuǐ,горячая вода
热水器,rèshuǐqì,"водонагреватель, бойлер"
热线,rèxiàn,тепловой луч; горячая линия
人权,rénquán,права человека
认同,rèntóng,"признавать, одобрять; проявлять солидарность"
日夜,rìyè,день и ночь
日语,rìyǔ,японский язык
融合,rónghé,"сливать(ся), соединять(ся), смешивать(ся); слияние, соединение"
融入,róngrù,"вливаться в, входить в (общество), ассимилироваться, соединяться с"
如,rú,"быть как; как будто, подобно"
如一,rúyī,"последовательно, по одному и тому же курсу; неизменно; такой же, одинаковый, однородный, однообразный, единственный в своем роде"
乳制品,rǔzhìpǐn,молочные продукты
入,rù,"входить; вступать, быть принятым"
入学,rù xué,поступать в учебное заведение
若,ruò,казаться; как будто; если
塞,sāi,"набивать, заполнять; затыкать, закупоривать; пробка, затычка"
赛,sài,"матч, соревнование; конкурировать"
赛场,sàichǎng,"поле, спортивная арена"
三明治,sānmíngzhì,сэндвич
丧失,sàngshī,"потерять, утратить, лишиться; потеря, утрата, утеря"
山峰,shānfēng,"вершина горы, горный пик"
山谷,shāngǔ,"ущелье, горная долина"
山坡,shānpō,склон горы
伤口,shāngkǒu,"рана, порез"
伤亡,shāngwáng,"травма или смерть, убитые и раненые; воен. потери (в живой силе); умерший от ран"
伤员,shāngyuán,раненый
商城,shāngchéng,"торговый комплекс, торговый дом, торговый центр, магазин"
上当,shàng dàng,быть обманутым; попасть впросак; остаться в дураках; понести убыток
上帝,Shàngdì,"бог, небеса, божество; Шан-ди, верховный владыка Неба; Небесный Владыка (божество тайпинов)"
上市,shàng shì,"идти на базар; покупать на рынке; поступать на рынок, появляться в продаже; фин. (провести) первичное публичное предложение, первичное размещение акций; котироваться, котировка; зарегистрироваться на бирже"
上台,shàng tái,"выходить на сцену, подниматься на трибуну"
上演,shàngyǎn,"ставить (на сцене), давать представление"
勺,sháo,"ложка; черпать, наливать"
少儿,shàoér,"ребенок, дети"
舌头,shétou,язык
设计师,shèjìshī,"дизайнер, проектировщик, конструктор"
涉及,shèjí,"касаться, иметь отношение к, затрагивать"
深化,shēnhuà,углублять
深深,shēnshēn,глубокий; основательный; густой
审查,shěnchá,"проверять, контролировать; инспектировать; цензура, рассматривать; рассмотрение"
升级,shēng jí,"повышать (до более высокой категории); (о военном конфликте) обостряться; делать апгрейд (напр.,  升学 приложения) "
升学,shēng xué,"переходить в школу более высокой cтупени (из начальной ― в среднюю, из средней ― в высшую)"
升值,shēngzhí,"(о валюте) ревальваци, повышаться в стоимости; дорожать"
生活费,shēnghuófèi,"расходы на жизнь, стоимость жизни"
省钱,shěng qián,экономить деньги
圣诞节,Shèngdàn Jié,Рождество
盛行,shèngxíng,"иметь широкое хождение, завоевать популярность, быть вмоде"
师父,shīfu,"мастер, учитель; квалифицированный рабочий"
师生,shīshēng,учителя и ученики
时而,shíér,"временами, время от времени; иногда; то..., то..."
时节,shíjié,сезон
时期,shíqī,"период; срок; время; стадия, фаза; период"
时时,shíshí,"всегда, постоянно, очень часто"
时装,shízhuāng,модная одежда; мода
识,shí,"знать, узнавать; иметь понимание; знание"
识字,shí zì,быть грамотным; знать иероглиф; грамотность
实践,shíjiàn,"осуществлять на практике, практиковать"
食欲,shíyù,"аппетит, желание есть"
市民,shìmín,"горожанин, городской житель"
事后,shìhòu,"после события, постфактум, оглядываясь назад"
试点,shìdiǎn,испытательный полигон; испытательная площадка; место проведения пробы (испытаний)
适当,shìdàng,подходящий; надлежащий; целесообразный; соответствующий
收藏,shōucáng,"коллекционировать, собирать; хранить"
收取,shōuqǔ,"получать, собирать"
收养,shōuyǎng,"брать на воспитание, брать под опеку, усыновлять, удочерять"
手续费,shǒuxùfèi,"комиссионный сбор, сбор за обслуживание; гонорар"
首,shǒu,"сущ./ сч.слово голова; глава, лидер, вождь; предводитель; инициатор"
首次,shǒucì,впервые; первый
首脑,shǒunǎo,"руководитель, шеф"
首席,shǒuxí,"главное место, почетное место; первый, главный; (муз.) дирижер"
首相,shǒuxiàng,премьер-министр; канцлер
书房,shūfáng,кабинет
薯片,shǔpiàn,"картофельные чипсы, хрустящий картофель"
薯条,shǔtiáo,картофель фри
双打,shuāngdǎ,"парная игра, двойной удар"
爽,shuǎng,"светлый, ясный; честный; приятный"
水泥,shuǐní,цемент
税,shuì,"налог, обложение, пошлина; налоговый, фискальный"
顺,shùn,"гладкий, без затруднений; гармоничный; складный, хорошо организованный"
说明书,shuōmíngshū,"инструкция, руководство пользователя"
说实话,shuō shíhuà,"честно говоря, по правде сказать"
司长,sīzhǎng,"директор департамента (на государственном уровне), начальник"
死亡,sǐwáng,смерть; гибель
四处,sìchù,"везде, повсюду, во все стороны"
寺,sì,(будд.) храм; (ислам) мечеть; министерство (правительственное учреждение в древнем Китае)
送礼,sòng lǐ,дарить подарок
送行,sòng xíng,провожать; устраивать проводы
素质,sùzhì,природа; качества; выучка; мастерство
算了,suànle,"неважно, забудьте об этом, ну и ладно"
算是,suànshì,"наконец, в конце концов; считаться за"
虽,suī,"хотя, несмотря на; даже, даже если"
岁数,suìshu,"возраст, годы, лета"
所,suǒ,"(перед глаголом для образования фразы со значением существительного) тот, который...; (указывает на страдательный залог); место; местность; местопребывание, резиденци; ситуация"
踏实,tāshi,"практичный, реалистичный; твёрдый; постоянный, верный, уравновешенный; спокойный"
塔,tǎ,"пагода; башня; ступа; обелиск, монумент"
踏,tà,"ступать на, топтать; притопывать, отбивать ногой ритм"
台灯,táidēng,настольная лампа
太阳能,tàiyángnéng,солнечная энергия
叹气,tàn qì,вздыхать
探索,tànsuǒ,"поиск, исследование, искать, исследовать; изыскание; обыскивать, проводить обыск"
探讨,tàntǎo,"рассматривать, изучать, исследовать; изучение, исследование"
趟,tàng,"сч. слово для поездок, походов; раз"
掏,tāo,вынимать; вытаскивать; выгребать; пробить; проделать
特,tè,"специальный, особый; шпион, секретный агент"
特大,tèdà,исключительно большой
特地,tèdì,"специально, нарочно; намеренно"
特快,tèkuài,экспресс; особенно быстрый
特意,tèyì,"специально, сознательно, намеренно, с особым смыслом, нарочно"
疼痛,téngtòng,боль
踢,tī,"пинать, бить ногой"
提交,tíjiāo,"передавать, представлять"
提升,tíshēng,"продвигать (по службе), повышать (в должности); продвижение, повышение, улучшение"
天然,tiānrán,"природный, естественный"
天堂,tiāntáng,рай
天下,tiānxià,"поднебесная, мир"
添,tiān,"добавлять, увеличивать; произвести на свет, родить"
田,tián,"поле, пашня; месторождение"
田径,tiánjìng,лёгкая атлетика
跳水,tiàoshuǐ,"ныряние, прыжки в воду"
听取,tīngqǔ,"слушать, прислушиваться"
通报,tōngbào,"публиковать извещение, рассылать циркуляр, уведомлять, оповещать"
通道,tōngdào,"проход, канал, дорога, путь"
通红,tōnghóng,"сплошь красный, очень красный"
通话,tōng huà,говорить по телефону; вести беседу
通行,tōngxíng,"проходить, проезжать; повсеместно использоваться"
通讯,tōngxùn,связь; сообщение; корреспонденция
同,tóng,"вместе, совместно; быть таким же как, быть одинаковым с; одинаковый, такой же; и, с, для, как"
同胞,tóngbāo,родные; соотечественники
同行,tóngháng,"коллега, человек той же профессии"
同期,tóngqī,соответствующий период; тот же период
同一,tóngyī,"одинаковый, такой же, идентичный"
铜牌,tóngpái,бронзовая медаль
头疼,tóuténg,испытывать головную боль; хлопотный
投票,tóu piào,голосовать; опускать бюллетень; голосование
透露,tòulù,просочиться; стать известным; обнаружиться
图书,túshū,"рисунки и письмена; чертежи и книги; книги, литература (вообще); личная печать"
徒弟,túdì,ученик (мастера); подмастерье
途径,tújìng,путь; дорога; каналы
土,tǔ,"простоватый, примитивный, старомодный; местный, коренной; неочищенный; домашний"
团队,tuánduì,"команда, группа"
推出,tuīchū,"выталкивать, выпускать, запускать, публиковать, рекомендовать"
退票,tuì piào,"возвращать билет, сдавать билет"
吞,tūn,"глотать, проглатывать; захватывать, аннексировать"
托,tuō,"поддерживать снизу, подпирать; подставка, опора"
拖,tuō,"тянуть, тащить, волочить; свисать; откладывать (во времени); (о голосе) затихать; тянуть, медлить; обременять"
拖鞋,tuōxié,тапочки; шлёпанцы
挖,wā,"рыть, копать; раскапывать, обнаруживать"
娃娃,wáwa,ребёнок; кукла
哇,wa,"вау! ого! звукоподр. плачу ребёнка; онечная модальная частица предложения или выделяемой его части (вариант частицы 啊 после огубленных звуков u, ao, ou)"
外币,wàibì,иностранная валюта
外部,wàibù,"внешняя часть, наружная сторона"
外出,wàichū,"уезжать, быть в отъезде"
外观,wàiguān,внешний вид
外科,wàikē,"хирургическое отделение, отделение хирургии"
外来,wàilái,"внешний, зарубежный, извне"
外头,wàitou,"снаружи, вне"
外衣,wàiyī,верхняя одежда
外资,wàizī,"иностранные инвестиции, иностранный капитал"
弯曲,wānqū,"изогнутый, кривой, извилистый"
顽皮,wánpí,"непослушный, шаловливый, озорной"
顽强,wánqiáng,"упрямый, упорствующий, неподатливый, настойчивый, стойкий"
王后,wánghòu,королева; (шахм.) ферзь
王子,wángzǐ,"принц, королевич; князь"
网吧,wǎngbā,"интернет-кафе, интернет-клуб"
网页,wǎngyè,веб-страница
往后,wǎnghòu,"в будущем, впредь; (двигаться) назад"
往来,wǎnglái,"приходить и уходить; связь, контакты"
往年,wǎngnián,"предыдущие годы, прежние годы, былые времена"
望见,wàngjiàn,"заметить издалека, увидеть, завидеть"
危机,wēijī,кризис
威胁,wēixié,"угрожать; грозить; подвергать опасности, злоупотребление влиянием"
微波炉,wēibōlú,"микроволновая печь, микроволновка"
维生素,wéishēngsù,витамин
为此,wèicǐ,"по этой причине, из-за этого, потому"
为何,wèihé,почему
文娱,wényú,культурные развлечения
卧铺,wòpù,"койка, спальное место"
乌云,wūyún,"темная туча, черная туча"
无边,wúbiān,"безграничный, беспредельный"
无关,wúguān,"не касаться, не иметь отношения"
无效,wúxiào,"не иметь эффекта, быть неэффективным, не иметь силы, быть недействительным"
舞蹈,wǔdǎo,"танцевать, плясать; танец, пляска"
物品,wùpǐn,"вещь, предмет, изделие, товар"
误,wù,"пропускать, опаздывать; мешать, препятствовать"
西班牙语,Xībānyáyǔ,испанский язык
吸毒,xī dú,употреблять наркотики
牺牲,xīshēng,жертва; жертвовать; отдать жизнь; погибнуть
洗衣粉,xǐyīfěn,стиральный порошок
戏曲,xìqǔ,китайская опера
细胞,xìbāo,(биол.) клетка; клеточный
细菌,xìjūn,"бактерия, микроб; бактериологический"
先锋,xiānfēng,"передовой (штурмовой) отряд; авангард; передовая часть; передовик, зачинатель"
嫌,xián,досадовать; быть недовольным; тяготиться; подозревать; вызывать подозрение; подозрение
显出,xiǎnchū,"показывать, выставлять, проявлять"
险,xiǎn,"опасный; почти, чуть не"
线路,xiànlù,линия или канал связи
陷入,xiànrù,попасть; завязнуть; провалиться; оказаться; погрузиться
响声,xiǎngshēng,"звук, шум"
想不到,xiǎngbudào,никак не ожидать
消耗,xiāohào,истощать; изматывать; расходовать; потреблять; расход; потребление
消灭,xiāomiè,"уничтожать, ликвидировать; исчезать, пропадать; вымирать"
小费,xiǎofèi,чаевые; мелкие расходы
小麦,xiǎomài,пшеница; пшеничный
小于,xiǎoyú,"быть меньше, чем"
晓得,xiǎode,"знать, понимать"
笑脸,xiàoliǎn,улыбающееся лицо
笑容,xiàoróng,улыбка
笑声,xiàoshēng,смех; хохот
协会,xiéhuì,"ассоциация, союз, общество"
协商,xiéshāng,консультироваться; совещаться; консультации; консультативный
协调,xiétiáo,"согласовывать, координировать, приводить в соответствие; слаженность; гармоничность"
协助,xiézhù,"содействовать, помогать; содействие"
写字楼,xiězìlóu,офисное здание
写字台,xiězìtái,"письменный стол, бюро"
心灵,xīnlíng,душа; сердце; умный; сообразительный
心愿,xīnyuàn,"желание, стремление"
心脏,xīnzàng,сердце; сердечный
心脏病,xīnzàngbìng,"пороки сердца, кардиопатия"
新人,xīnrén,"новый человек, новичок; новый талант; новобрачный"
新兴,xīnxīng,"новый, развивающийся, растущий"
薪水,xīnshuǐ,"зарплата, оклад, жалованье"
信仰,xìnyǎng,исповедывать (веру); вера; верить в
信用,xìnyòng,"доверие, кредит"
兴旺,xīngwàng,"рост; подъём; процветание, успешный; процветающий"
行程,xíngchéng,"дорога, путь, расстояние, дистанция, поездка"
形,xíng,"форма; тело; выражать; сравнивать, сопоставлять"
凶,xiōng,"преступный, злодейский; жестокий, свирепый; страшный, ужасный"
凶手,xiōngshǒu,"убийца, злодей; преступник"
修车,xiūchē,ремонтировать автомобиль
袖珍,xiùzhēn,миниатюрный; карманный
悬,xuán,"висеть, вешать; не иметь решения, оставаться незаконченным; поднимать; (разг.) опасный"
旋转,xuánzhuǎn,"вертеться, крутиться, вращаться; вращательный"
选拔,xuǎnbá,"выбирать, отбирать; выдвигать; выбор, отбор"
选举,xuǎnjǔ,избрать; выбирать; выборы; выборный
学会,xuéhuì,"изучать, овладевать; научное общество, институт"
学员,xuéyuán,"учащийся, стажер"
血管,xuèguǎn,кровеносный сосуд; ангио
血液,xuèyè,кровь
循环,xúnhuán,циркулировать; обращаться; циркуляция; цикл
压迫,yāpò,"угнетать, давить, подавлять; гнёт, давление"
烟花,yānhuā,фейерверк
沿,yán,"вдоль, по; край, граница"
沿海,yánhǎi,прилегать к морю; вдоль побережья; приморье; приморский
沿着,yánzhe,"вдоль, по"
研发,yánfā,"исследования и разработки, проектно- конструкторская работа, научно- исследовательские и опытно-конструкторские работы (НИОКР)"
眼看,yǎnkàn,"вскоре, вот-вот; безучастно наблюдать"
演奏,yǎnzòu,"исполнять, играть; исполнение, игра на инструменте"
宴会,yànhuì,"банкет, пиршество, парадный приём, торжественный обед"
洋,yáng,океан; безбрежный; заморский; заграничный
仰,yǎng,поднимать голову; восхищаться; зависеть от
养老,yǎng lǎo,"обеспечивать старость, поддерживать пожилых"
氧气,yǎngqì,"кислород, кислородный"
样,yàng,"вид, тип"
药品,yàopǐn,"медикаменты, лекарственные средства"
要不然,yàobùrán,"а не то, или же, в противном случае, иначе"
要好,yàohǎo,"хороший, близкий (друг); дружны, близки, в дружеских отношениях; стремиться к успеху; стараться, старательный"
要么,yàome,"или, либо"
要素,yàosù,элемент; необходимая составная часть; основной фактор
野,yě,"грубый; дикий, дикорастущий; необузданный"
野生,yěshēng,"дикий, дикорастущий, неприрученный"
医药,yīyào,"лечение и медикаменты; медицина, медицинский; лекарства, фармацевтический"
依次,yīcì,"по порядку, по очереди, последовательно"
依赖,yīlài,находиться в зависимости от кого-либо/чего- либо; зависеть от кого-либо/чего-либо
一次性,yícìxìng,"одноразовый, одноразового использования"
一代,yídài,одно поколение
一道,yídào,"по пути, тем же путём; вместе, сообща; попутчик"
一贯,yíguàn,"всепроникающий; последовательный; систематический; систематически, единый, всегда один и тот же; сплошной"
一路上,yílùshang,"на всем пути, по пути, в поездке"
仪器,yíqì,прибор; аппарат
仪式,yíshì,церемония; ритуал; обряд
遗憾,yíhàn,"сожаление; сожалеть, к несчастью; к большому сожалению"
一番,yìfān,"раз, разок (обычно передаётся грамматическим значением); некоторый, небольшой"
一模一样,yìmú-yíyàng,"абсолютно одинаковый, как две капли воды"
一齐,yìqí,"одновременно, вместе"
一时,yìshí,"короткое время; временно, на время, ненадолго"
一同,yìtóng,"вместе, совместно, в одно время и в одном месте"
一行,yìxíng,"компания путешествующих вместе, группа"
艺人,yìrén,"артист, артистка, актер, актриса, певец, певица и т.д.; мастер, художник (своего дела)"
议题,yìtí,тема обсуждения
异常,yìcháng,"странный, необыкновенный, необычный; исключительно; необычайно"
意想不到,yìxiǎngbúdào,"неожиданный, непредвиденный"
意愿,yìyuàn,"желание, стремление, чаяние"
因,yīn,"причина, повод; следовать, продолжать"
因素,yīnsù,"фактор; условие; момент; причина, обстоятельство"
阴谋,yīnmóu,заговор; коварный замысел; интриги; замышлять; инспирировать
阴影,yīnyǐng,"тень; неприятный опыт, который преследует кого-то"
音量,yīnliàng,громкость звука
音像,yīnxiàng,аудио и видео
隐藏,yǐncáng,"прятать(ся), скрывать(ся)"
隐私,yǐnsī,"личный, частный, конфиденциальный; приватный; личные дела"
印,yìn,"печатать; печать, штамп; отпечаток, след"
英雄,yīngxióng,герой
迎来,yínglái,приветствовать
影迷,yǐngmí,киноман или фанат кинозвезды
影星,yǐngxīng,кинозвезда
应对,yìngduì,"отвечать на, реагировать на"
应急,yìng jí,реагировать на непредвиденные обстоятельства
用处,yòngchù,"полезность, применение"
用得着,yòngdezháo,"можно использовать, может быть использован, может пригодиться"
用法,yòngfǎ,"применение, использование, способ использования"
用品,yòngpǐn,предметы потребления
用心,yòngxīn,"делать старательно, вкладывать душу (во чтолибо); намерение, умысел"
优质,yōuzhì,"высококачественный, высшего качества, превосходный"
游人,yóurén,"турист, посетитель, странник, путешественник"
游玩,yóuwán,"прогуливаться, осматривать достопримечательности, путешествовать вокруг"
游戏机,yóuxìjī,игровое устройство
游行,yóuxíng,"маршировать, шествовать; марш, шествие"
有关,yǒuguān,"иметь отношение, касаться, затрагивать"
有没有,yǒuméiyǒu,"есть ли , у вас есть; так или не так? не так ли? верно?"
