character,pinyin,definitions
网站,wǎngzhàn,"сайт, веб-сайт"
往,wǎng,"(предлог) к, по направлению к..., в сторону...; прошлое"
为,wèi,"для, из-за, в качестве"
为什么,wèi shénme,почему? зачем?
位,wèi,"позиция, положение; уважительное счетное слово для личностей"
味道,wèidào,вкус; запах; привкус; изящество; красота
喂,wèi,эй!
温度,wēndù,температура; температурный; термо
闻,wén,"услышать; нюхать; обонять; известия; сообщения, репутация"
问路,wènlù,спрашивать дорогу
问题,wèntí,"вопрос, проблема"
午餐,wǔcān,обед
午睡,wǔshuì,"спать в обеденное время, дремать днем; сиеста,послеобеденный сон"
西北,xīběi,северо-запад
西餐,xīcān,западная кухня
西方,xīfāng,"запад, западная сторона"
西南,xīnán,юго-запад
西医,xīyī,западная медицина
习惯,xíguàn,"привыкать, привычка (счетное слово 个 ge)"
洗衣机,xǐyījī,стиральная машина
洗澡,xǐ zǎo,"мыться, купаться"
下,xià,счетное слово (указывает повторение действия); (указывает способность или умение)
下雪,xiàxuě,"выпадать, падать (о снеге)"
下周,xiàzhōu,следующая неделя
夏天,xiàtiān,"лето, летом"
相同,xiāngtóng,одинаковый; тождественный; идентичный
相信,xiāngxìn,"верить, поверить"
响,xiǎng,звучный; звонкий; звучать; греметь
想到,xiǎngdào,думать о; вспоминать; предвидеть
想法,xiǎngfǎ,"идея, мысль"
想起,xiǎngqǐ,"вспоминать, думать о, воскрешать в памяти"
向,xiàng,"направление, в направлении к (предлог)"
相机,xiàngjī,"фотоаппарат, фотокамера"
像,xiàng,"напоминать, выглядеть как; быть как..."
小,xiǎo(Xiǎo Wáng),"служит префиксом уменьшительным или ласкательным, иногда пренебрежительным"
小声,xiǎoshēng,"тихо, вполголоса, шепотом"
小时候,xiǎoshíhou,"детство, детский возраст"
小说,xiǎoshuō,роман
小心,xiǎoxīn,"осторожно, быть осторожным"
小组,xiǎozǔ,небольшая группа
校园,xiàoyuán,"кампус, территория университета"
校长,xiàozhǎng,"директор школы, учебного заведения"
笑话,xiàohuà,"шутка, анекдот"
笑话儿,xiào huàér,"шутка, анекдот, чепуха, ерунда"
鞋,xié,обувь
心里,xīnli,"в душе, в уме"
心情,xīnqíng,настроение; расположение духа
心中,xīnzhōng,"в сердце, в мыслях"
新闻,xīnwén,новости
信,xìn,"письмо; сообщение, новость"
信号,xìnhào,"сигнал; сигнальный, сигнализационный"
信息,xìnxī,"информация, сведения; весть, известие; сообщение"
信心,xìnxīn,"вера, уверенность (в своих силах), убеждённость"
信用卡,xìnyòngkǎ,кредитная карта
星星,xīngxing,звезда
行动,xíngdòng,двигаться; действовать; действие; акт
行人,xíngrén,пешеход; прохожий
行为,xíngwéi,"действие, поступок; акт; поведение"
姓,xìng,"фамилия, иметь такую-то фамилию"
姓名,xìngmíng,"полное имя, фамилия и имя"
休假,xiū jià,"быть в отпуске, отдыхать на каникулах"
许多,xǔduō,"очень много, порядочно; целый ряд"
选,xuǎn,"выбирать, избирать"
学期,xuéqī,семестр
雪,xuě,снег
颜色,yánsè,цвет
眼,yǎn,"сущ. /сч. слово: глаз, око; взор, взгляд; зрение (также счетное слово действия)"
眼睛,yǎnjing,глаз(-а)
养,yǎng,"держать (питомцев), растить; поддерживать; рождать; поправлять здоровье; совершенствовать; приобретать (напр., привычку); отращивать (волосы); приемный"
样子,yàngzi,"образец; фасон; модель; вид; образ; мина, поза; видимость"
要求,yāoqiú,"требовать, просить, запрашивать"
药,yào,"лекарство, препарат"
药店,yàodiàn,аптека
药片,yàopiàn,"таблетка, пилюля"
药水,yàoshuǐ,"микстура, жидкое лекарство"
也许,yěxǔ,возможно
夜,yè,ночь; ночью; ночной; вечерний
夜里,yèli,"ночью, вечером, в ночное или вечернее время"
一部分,yí bùfen,"часть, доля"
一定,yídìng,"обязательно, точно"
一共,yígòng,всего
一会儿,yíhuìr,"немного, какое-то время; вскоре"
一路平安,yílù-píngān,Счастливого пути!
一路顺风,yílù-shùnfēng,"попутного ветра, счастливого пути"
已经,yǐjīng,уже
以后,yǐhòu,"после, потом, позже"
以前,yǐqián,"раньше, до"
以上,yǐshàng,"больше чем, свыше"
以外,yǐwài,"вне, за пределами, кроме, за исключением"
以为,yǐwéi,"полагать, считать"
以下,yǐxià,"(о положении) ниже, под; (о количестве) менее; (о возрасте) до"
椅子,yǐzi,стул
一般,yìbān,"обычно, как правило"
一点点,yì diǎndiǎn,немного
一生,yìshēng,вся жизнь
一直,yìzhí,"прямо, постоянно, все время"
亿,yì,сто миллионов
意见,yìjiàn,"мнение, взгляд; точка зрения; (критическое) замечание;претензия"
意思,yìsi,"смысл, значение, идея, интерес"
因为,yīnwèi,"потому что, из-за"
阴,yīn,"инь, женское/отрицательное начало, темный, скрытый"
阴天,yīntiān,"облачное небо, пасмурное небо"
音节,yīnjié,слог
音乐,yīnyuè,музыка
音乐会,yīnyuèhuì,музыкальный концерт
银行,yínháng,банк
银行卡,yínhángkǎ,банковская карта
应该,yīnggāi,"быть должным; следует, полагается; необходимо, нужно, должно; заслуженно, поделом; как и следует"
英文,Yīngwén,английский язык; английский текст
英语,Yīngyǔ,английский язык
影片,yǐngpiàn,"фильм, кино"
影响,yǐngxiǎng,"влиять, влияние"
永远,yǒngyuǎn,"вечный, вековечный; вечно, всегда; навечно"
油,yóu,"масло, жир; нефть; красить, лакировать; быть испачканным в жиру; изворотливый, скользкий"
游客,yóukè,"турист, экскурсант"
友好,yǒuhǎo,дружба; дружественный
有空儿,yǒukòngr,иметь свободное время; быть свободным
有人,yǒurén,"кто-то, некто; (некоторые) люди; кто-то есть, занято (например, туалет)"
有点儿,yǒu( yī) diǎnr,"немного, чуть-чуть"
有意思,yǒuyìsi,интересный; питать интерес
又,yòu,"снова, опять, к тому же"
鱼,yú,рыба
语言,yǔyán,речь; язык
原来,yuánlái,первоначально; первоначальный; оказывается; на самом деле
原因,yuányīn,"причина, повод; основание"
院,yuàn,"двор; название определенных государственных учреждений; публичное место; институт, академия"
院长,yuànzhǎng,"директор, президент, глава"
院子,yuànzi,"двор, усадьба"
愿意,yuànyì,"желать, хотеть"
月份,yuèfèn,месяц
月亮,yuèliang,луна
越,yuè,"перейти через; преодолеть, еще более"
越来越,yuèláiyuè,"все больше и больше; чем дальше, тем..."
云,yún,облако
运动,yùndòng,"спорт, движение, кампания"
咱,zán,мы (включая говорящего)
咱们,zánmen,"мы, мы с вами (с тобой)"
脏,zāng,грязный
早餐,zǎocān,завтрак
早晨,zǎochén,утро
早就,zǎojiù,"уже давно, еще раньше"
怎么办,zěnmebàn,"что делать, как делать"
怎么样,zěnmeyàng,как? каким образом? как дела?
怎样,zěnyàng,"как, каким образом"
占,zhàn,"занимать (напр., место, время), составлять; обладать (напр., преимуществом)"
站,zhàn,"стоять, вставать; останавливаться"
站住,zhànzhù,остановиться; стой!
长,zhǎng,"старший; главный, первый; расти, увеличиваться; множиться, возрастать; накапливаться"
长大,zhǎngdà,"вырастать, становиться взрослым"
找出,zhǎochū,"находить, обнаруживать"
照顾,zhàogù,"присматривать, заботиться"
照片,zhàopiàn,фотография
照相,zhào xiàng,фотографировать; фотографирование; фотографический
这么,zhème,"так, такой, настолько"
这时候｜这时,"zhè shíhòu, zhè shí","в это время, в этот момент"
这样,zhèyàng,такой; так; таким образом
真正,zhēnzhèng,подлинный; настоящий; истинный; действительно; на самом деле
正常,zhèngcháng,"нормальный, обычный; постоянный; средний"
正好,zhènghǎo,"как раз; кстати, впору"
正确,zhèngquè,"достоверный, действительный, точный; правильный; правильно"
正是,zhèngshì,"быть точно, быть именно, быть прямо как"
直接,zhíjiē,прямой; непосредственный; прямо; непосредственно
只,zhǐ,только; лишь; всего лишь; только лишь
只能,zhǐnéng,мочь только
只要,zhǐyào,нужно лишь; надо только
纸,zhǐ,"бумага; сч.слово для писем, документов и т.д."
中餐,zhōngcān,китайская кухня
中级,zhōngjí,средний уровень
中年,zhōngnián,средних лет
中小学,zhōng-xiǎoxué,начальная и средняя школа
中心,zhōngxīn,центр; сердцевина; центральный
中医,zhōngyī,(кит. мед.) традиционная китайская медицина; доктор традиционной китайской медицины
重点,zhòngdiǎn,ключевой пункт; главное звено
重视,zhòngshì,"придавать значение, обращать большое внимание, иметь высокое мнение"
周,zhōu,"неделя; цикл, круг"
周末,zhōumò,"выходные, конец недели"
周年,zhōunián,годовщина; годичный
主人,zhǔrén,хозяин; владелец
主要,zhǔyào,"главный, главным образом"
住房,zhùfáng,жилье
住院,zhù yuàn,"лечь в больницу, госпитализироваться"
装,zhuāng,наряжаться; переодеваться; наряд; одежда; притворяться; прикидываться; нагружать; грузить; укладывать; упаковывать; монтировать; устанавливать
准确,zhǔnquè,"точный, верный; правильный; пунктуальный; меткий"
自己,zìjǐ,сам
自行车,zìxíngchē,велосипед
自由,zìyóu,свобода; свободный; вольный
字典,zìdiǎn,словарь
走过,zǒuguò,"миновать, проходить мимо"
走进,zǒujìn,"заходить, входить"
走开,zǒukāi,"уходить отсюда, убираться (в другое место)"
租,zū,арендовать; снимать; брать напрокат; сдавать в аренду; выдавать напрокат; арендная плата
组,zǔ,группа; кружок; звено; бригада; организовать; сформировать
组成,zǔchéng,образовать; сформировать; составить
组长,zǔzhǎng,лидер группы
嘴,zuǐ,рот
最近,zuìjìn,"ближайший, недавно"
作家,zuòjiā,писатель; творческий работник
作文,zuòwén,писать статью; писать сочинение; сочинение
作业,zuòyè,"домашняя работа/задание, работа"
作用,zuòyòng,роль; значение; действие; воздействие
座,zuò,"место; сиденье; подставка; постамент; сч. слово для больших зданий, мостов и громоздких предметов"
座位,zuòwèi,место
做到,zuòdào,"выполнять, достигать"
做法,zuòfǎ,"метод, способ действия, практика, поступок"
做饭,zuò fàn,готовить еду
