Есть в html, нет в dict

Нету слова 破冰器 | ['破冰器', '_', 'Ледокол']
Нету слова 法力澎湃 | ['法力澎湃', '_', 'Волнолов маны']
Нету слова 萨德希 | ['萨德希', '_', 'Пенистая лужа']
Нету слова 传送：波特城堡 | ['传送：波特城堡', '_', 'Телепортация: дом Борта']
Нету слова 肢体撕裂者 | ['肢体撕裂者', '_', 'Расчленение']
Нету слова 塔楼攻击奖励 | ['塔楼攻击奖励', '_', 'Повышенный урон по башне']
Нету слова 干扰仪式：教堂广场 | ['干扰仪式：教堂广场', '_', 'Прерывание ритуала: Соборная площадь']
Нету слова 传送门：回音谷 | ['传送门：回音谷', '_', 'Портал в долину Эха']
Нету слова 蓝酒 | ['蓝酒', '_', 'Синее пойло']
Нету слова 传送：祖尔法拉克 | ['传送：祖尔法拉克', '_', 'Телепортация: ЗулФаррак']
Нету слова 碎裂大地的折磨 | ['碎裂大地的折磨', '_', 'Пытка растрескавшейся земли']
Нету слова 心碎的臭臭 | ['心碎的臭臭', '_', 'Разбитое сердце Вонюши']
Нету слова 传送：西部荒野 | ['传送：西部荒野', '_', 'Телепорт в Западный край']
Нету слова 座位可用 | ['座位可用', '_', 'Свободное место']
Нету слова 亡者的哭嚎 | ['亡者的哭嚎', '_', 'Плач мертвых']
Нету слова 干扰仪式：花园 | ['干扰仪式：花园', '_', 'Прерывание ритуала: Парк']
Нету слова 干扰仪式：荣誉谷 | ['干扰仪式：荣誉谷', '_', 'Прерывание ритуала: аллея Чести']
Нету слова 传送：兵营 | ['传送：兵营', '_', 'Телепорт в Казармы']
Нету слова 传送：影踪卫戍营 | ['传送：影踪卫戍营', '_', 'Телепортация: гарнизон Шадо-Пан']
Нету слова 找到僵尸 | ['找到僵尸', '_', 'Найти зомби']
Нету слова 传送到岩石大厅 | ['传送到岩石大厅', '_', 'Телепорт в Чертоги Камня']
Нету слова 否定回答，不正确 | ['否定回答，不正确', '_', 'Ответ "Нет" неверен']
Нету слова 暗影映像 | ['暗影映像', '_', 'Отражение теней']
Нету слова 水桶落地 | ['水桶落地', '_', 'Упавшее ведро']
Нету слова 武器链 | ['武器链', '_', 'Неуязвимость к разоружению']
Нету слова 乌佐的鲜血仪祭 | ['乌佐的鲜血仪祭', '_', 'Кровавый ритуал Узо']
Нету слова 惊恐咆哮 | ['惊恐咆哮', '_', 'Ужасная путаница']
Нету слова 传送：设置返回裂隙 | ['传送：设置返回裂隙', '_', 'Телепортация: возможность возвращения']
Нету слова 炸毁军团感应器 | ['炸毁军团感应器', '_', 'Взрыв антенны Легиона']
Нету слова 孤儿的冰淇淋 | ['孤儿的冰淇淋', '_', 'Мороженое сироты']
Нету слова 干扰仪式：矮人区 | ['干扰仪式：矮人区', '_', 'Прерывание ритуала: квартал дворфов']
Нету слова 黑暗堕落者的契约 | ['黑暗堕落者的契约', '_', 'Пакт Омраченных']
Нету слова 黑暗堕落者的灵气 | ['黑暗堕落者的灵气', '_', 'Присутствие Омраченных']
Нету слова 艾瓦诺尔的牢房锁链 | ['艾瓦诺尔的牢房锁链', '_', 'Тюремные оковы Эванор']
Нету слова 阿卡里的保护 | ['阿卡里的保护', '_', 'Неуязвимость Акали']
Нету слова 撕裂肉体 | ['撕裂肉体', '_', 'Раздирание плоти']
Нету слова 瓦拉塔兹之触 | ['瓦拉塔兹之触', '_', 'Касание Валестраза']
Нету слова 飞蛾振翅 | ['飞蛾振翅', '_', 'Бражники']
Нету слова 传送：达拉然 | ['传送：达拉然', '_', 'Телепортация: Даларан']
Нету слова 强化破甲攻击 | ['强化破甲攻击', '_', 'Улучшенный раскол брони']
Нету слова 肯定回答，正确 | ['肯定回答，正确', '_', 'Ответ "Да" верен']
Нету слова 肯定回答，不正确 | ['肯定回答，不正确', '_', 'Ответ "Да" неверен']
Нету слова 炸毁祖尔法拉克大门 | ['炸毁祖尔法拉克大门', '_', 'Взрыв дверей ЗулФаррака']
Нету слова 干扰仪式：西门 | ['干扰仪式：西门', '_', 'Прерывание ритуала: Западные врата']
Нету слова 练习图纸：装饰汤匙 | ['练习图纸：装饰汤匙', '_', 'Учебный чертеж: декоративные ложки']
Нету слова 超度亡灵 | ['超度亡灵', '_', 'Изгнание нежити']
Нету слова 雷霆顺劈 | ['雷霆顺劈', '_', 'Громовой раскол']
Нету слова 传送：沙塔斯 | ['传送：沙塔斯', '_', 'Телепортация: Шаттрат']
Нету слова 瓦拉塔兹的神圣之触 | ['瓦拉塔兹的神圣之触', '_', 'Божественное касание Валестраза']
Нету слова 洞察真相 | ['洞察真相', '_', 'Вид истины']
Нету слова 踏风连击奖励 | ['踏风连击奖励', '_', 'Неожиданный прием - наложение']
Нету слова 躲闪冲锋 | ['躲闪冲锋', '_', 'Уклонение от рывка']
Нету слова 洛伊的独木舟 | ['洛伊的独木舟', '_', 'Каноэ Луи']
Нету слова 顶点颜色：浅蓝 | ['顶点颜色：浅蓝', '_', 'Цвет вершины: голубой']
Нету слова 合并魔像蓝图 | ['合并魔像蓝图', '_', 'Объединение чертежа голема']
Нету слова 焚烧被毁坏的死尸 | ['焚烧被毁坏的死尸', '_', 'Горящий Разрушенный кадавр']
Нету слова 通往回音谷的传送门 | ['通往回音谷的传送门', '_', 'Портал в Долину Эха']
Нету слова 斩杀被遗忘者囚犯 | ['斩杀被遗忘者囚犯', '_', 'Казнь узника-Отрекшегося']
Нету слова 否定回答，正确 | ['否定回答，正确', '_', 'Ответ "Нет" верен']
Нету слова 致命撕扯 | ['致命撕扯', '_', 'Гибельное кровопускание']
Нету слова 迫击炮干扰 | ['迫击炮干扰', '_', 'Касание мортиры']
Нету слова 浓郁麝牛香 | ['浓郁麝牛香', '_', 'Головокружительный запах']
Нету слова 野蛮撕扯 | ['野蛮撕扯', '_', 'Жестокое кровопускание']
Нету слова 恶毒撕扯 | ['恶毒撕扯', '_', 'Неистовая схватка']
Нету слова 传送：幽暗城 | ['传送：幽暗城', '_', 'Телепортация: Подгород']
Нету слова 干扰仪式：暗巷区 | ['干扰仪式：暗巷区', '_', 'Прерывание ритуала: Волок']
Нету слова 解救布伦希尔达囚犯 | ['解救布伦希尔达囚犯', '_', 'Освободить пленную бруннхильдарку']
Нету слова 传送：藏宝海湾 | ['传送：藏宝海湾', '_', 'Телепортация: Пиратская Бухта']
Нету слова 召唤大法师艾瓦诺尔 | ['召唤大法师艾瓦诺尔', '_', 'Вызов леди Эванор']
Нету слова 设置雕文 | ['设置雕文', '_', 'Яростный раскол']
Нету слова 通灵之触 | ['通灵之触', '_', 'Некротическое касание']
Нету слова 狂乱撕扯 | ['狂乱撕扯', '_', 'Яростное разрывание']
Нету слова 折磨：斯科杜斯之眼 | ['折磨：斯科杜斯之眼', '_', 'Мучение: око Скольда']
Нету слова 传送：传送门守护者哈萨贝尔 | ['传送：传送门守护者哈萨贝尔', '_', 'Телепортация: хранительница порталов Азабель']
Нету слова 传送：神秘海岛 | ['传送：神秘海岛', '_', 'Телепортация: неизведанный остров']
Нету слова 陨落哭嚎 | ['陨落哭嚎', '_', 'Горестный крик']
Нету слова 传送：凋零密院 | ['传送：凋零密院', '_', 'Телепортация: дом Чумы']
Нету слова 粉碎现实 | ['粉碎现实', '_', 'Раскол реальности']
Нету слова 不休不疲 | ['不休不疲', '_', 'Неустанный бег']
Нету слова 被缚的受折磨的灵魂 | ['被缚的受折磨的灵魂', '_', 'Закованная истерзанная душа']
Нету слова 真菌绽放 | ['真菌绽放', '_', 'Плеснецвет']
Нету слова 折磨：莫尔特雷加的残影 | ['折磨：莫尔特雷加的残影', '_', 'Мучение: отголоски Мортрегара']
Нету слова 命运逆位：畏惧死亡 | ['命运逆位：畏惧死亡', '_', 'Инверсия: страх смерти']
Нету слова 已拆除 | ['已拆除', '_', 'Разобрано']
Нету слова 传送：泰洛古斯裂隙 | ['传送：泰洛古斯裂隙', '_', 'Телепортация: Телогрус']
Нету слова 寻忆折磨 | ['寻忆折磨', '_', 'Мучение от извлечения воспоминания']
Нету слова 菲兹兰克航班 | ['菲兹兰克航班', '_', 'Полет Выкрутеня']
Нету слова 食物大战！ | ['食物大战！', '_', 'Бросание едой']
Нету слова 唤风者 | ['唤风者', '_', 'Пробуждение ветра']
Нету слова 精华碎裂 | ['精华碎裂', '_', 'Раскол сущности']
Нету слова 有资格获得奖励 | ['有资格获得奖励', '_', 'Доступны награды']
Нету слова 传送：永恒王宫 | ['传送：永恒王宫', '_', 'Телепортация: Вечный дворец']
Нету слова 疯狂：畏惧死亡 | ['疯狂：畏惧死亡', '_', 'Безумие: страх смерти']
Нету слова 传送：层 | ['传送：层', '_', 'Телепортация: этаж']
Нету слова 致命缠绕 | ['致命缠绕', '_', 'Ужасающий лик смерти']
Нету слова 丧失目标 | ['丧失目标', '_', 'Гиблое дело']
Нету слова 传送：六叠的隐居处 | ['传送：六叠的隐居处', '_', 'Телепортация в прибежище Шестикрата']
Нету слова 传送：萨格拉斯的恶犬 | ['传送：萨格拉斯的恶犬', '_', 'Телепортация: гончие Саргераса']
Нету слова 超级黏黏弹 | ['超级黏黏弹', '_', 'Очень липкая гадость']
Нету слова 献上让人厌恶的深渊精华 | ['献上让人厌恶的深渊精华', '_', 'Преподнести гнусное порождение']
Нету слова 传送：恩佐斯的神思 | ['传送：恩佐斯的神思', '_', 'Телепортация: разум НЗота']
Нету слова 黑暗堕落者之拥 | ['黑暗堕落者之拥', '_', 'Хватка Омраченных']
Нету слова 传送：赛芙·伊文的密室 | ['传送：赛芙·伊文的密室', '_', 'Телепортация: убежище Сеф Ивен']
Нету слова 灵巧躲闪 | ['灵巧躲闪', '_', 'Хитрое уклонение']
Нету слова 璀璨火花易伤 | ['璀璨火花易伤', '_', 'Уязвимость от сияющей искры']
Нету слова 吵闹的 | ['吵闹的', '_', 'Гребля']
Нету слова 碎裂大地 | ['碎裂大地', '_', 'Расщепленная земля']
Нету слова 巨魔之护 | ['巨魔之护', '_', 'Тролль-охранник']
Нету слова 灌注：智力 | ['灌注：智力', '_', 'Усиление: интеллект']
Нету слова 恐惧之跃 | ['恐惧之跃', '_', 'Ужасающий прыжок']
Нету слова 巨魔独木舟 | ['巨魔独木舟', '_', 'Тролльское каноэ']
Нету слова 传送：兵主之座 | ['传送：兵主之座', '_', 'Телепортация к Престолу Примаса']
Нету слова 专横射线 | ['专横射线', '_', 'Деспотический луч']
Нету слова 折磨：魂铸热能 | ['折磨：魂铸热能', '_', 'Мучение: жар Кузни душ']
Нету слова 传送：先知斯基特拉 | ['传送：先知斯基特拉', '_', 'Телепортация: пророк Скитра']
Нету слова 传送：下层 | ['传送：下层', '_', 'Телепортация: нижний уровень']
Нету слова 璀璨火花 | ['璀璨火花', '_', 'Сияющая искра']
Нету слова 暗影分身 | ['暗影分身', '_', 'Темный раскол']
Нету слова 利爪撕扯 | ['利爪撕扯', '_', 'Раздирание когтями']
Нету слова 传送：泽克沃兹 | ['传送：泽克沃兹', '_', 'Телепортация: Зеквоз']
Нету слова 传送：伯拉勒斯 | ['传送：伯拉勒斯', '_', 'Телепортация: Боралус']
Нету слова 折磨：上层区域之力 | ['折磨：上层区域之力', '_', 'Мучение: сила Верхнего яруса']
Нету слова 寰宇爆发 | ['寰宇爆发', '_', 'Необузданный космос']
Нету слова 恶毒暗影 | ['恶毒暗影', '_', 'Зловещие тени']
Нету слова 传送：虚无者莱登 | ['传送：虚无者莱登', '_', 'Телепортация: Ра-ден Отчаявшийся']
Нету слова 传送：上层 | ['传送：上层', '_', 'Телепортация: верхний уровень']
Нету слова 传送到碎石码头 | ['传送到碎石码头', '_', 'Телепортация в Старокаменную гавань']
Нету слова 正在调查 | ['正在调查', '_', 'Расследование']
Нету слова 传送：主宰者要塞 | ['传送：主宰者要塞', '_', 'Телепортация в крепость Владыки']
Нету слова 被诅咒的硬币监狱 | ['被诅咒的硬币监狱', '_', 'Тюрьма проклятой монеты']
Нету слова 初级妖术：细颚龙 | ['初级妖术：细颚龙', '_', 'Простой сглаз: саурид']
Нету слова 鲦鱼抽取器——取消 | ['鲦鱼抽取器——取消', '_', 'Рыбосос – отмена']
Нету слова 美味飞蛾 | ['美味飞蛾', '_', 'Вкусный мотылек']
Нету слова 传送：赤红深渊 | ['传送：赤红深渊', '_', 'Телепортация: Кровавые катакомбы']
Нету слова 凇心之息 | ['凇心之息', '_', 'Дыхание Бессердечных']
Нету слова 传送：心之秘室 | ['传送：心之秘室', '_', 'Телепортация: Зал Сердца']
Нету слова 投掷长枪 | ['投掷长枪', '_', 'Бросок пики']
Нету слова 奥术撕扯 | ['奥术撕扯', '_', 'Чародейский разлом']
Нету слова 传送：伤逝剧场 | ['传送：伤逝剧场', '_', 'Телепортация: Театр Боли']
Нету слова 传送：希利苏斯 | ['传送：希利苏斯', '_', 'Телепортация: Силитус']
Нету слова 不谐乐段 | ['不谐乐段', '_', 'Нестройная каденция']
Нету слова 传送：兹洛斯 | ['传送：兹洛斯', '_', 'Телепортация: Фрос']
Нету слова 灌注：智慧 | ['灌注：智慧', '_', 'Усиление: мудрость']
Нету слова 传送：彼界 | ['传送：彼界', '_', 'Телепортация: Та Сторона']
Нету слова 维系阀箱帮 | ['维系阀箱帮', '_', 'Команда Дроссельпыха – поддержание']
Нету слова 菲兹兰克航班取消 | ['菲兹兰克航班取消', '_', 'Отмена полета Выкрутеня']
Нету слова 传送：恩佐斯的外壳 | ['传送：恩佐斯的外壳', '_', 'Телепортация: панцирь НЗота']
Нету слова 召唤飞蛾 | ['召唤飞蛾', '_', 'Призыв мотылька']
Нету слова 石首的挚友奖励 | ['石首的挚友奖励', '_', 'Преимущества дружбы с Камнелбом']
Нету слова 标枪投掷 | ['标枪投掷', '_', 'Бросок дротика']
Нету слова 灭愿者 | ['灭愿者', '_', 'Сокрушитель надежды']
Нету слова 折磨：凇心之息 | ['折磨：凇心之息', '_', 'Мучение: дыхание Бессердечных']
Нету слова 传送：萧湾镇 | ['传送：萧湾镇', '_', 'Телепортация: Листопадная Бухта']
Нету слова 传送：永夜大教堂 | ['传送：永夜大教堂', '_', 'Телепортация: собор Вечной Ночи']
Нету слова 任务接受：孤注一掷 | ['任务接受：孤注一掷', '_', 'Принять задание: Ставки сделаны']
Нету слова 传送：水晶蝎 | ['传送：水晶蝎', '_', 'Телепортация: кристаллический скорпион']
Нету слова 传送：泰安诺 | ['传送：泰安诺', '_', 'Телепортация: Теланор']
Нету слова 传送：乌索尔之巢 | ['传送：乌索尔之巢', '_', 'Вступление: Логово Урсока']
Нету слова 传送：“混混”哈亚坦 | ['传送：“混混”哈亚坦', '_', 'Телепортация: Харджатан Ленивый']
Нету слова 动物伙伴 - 米莎 | ['动物伙伴 - 米莎', '_', 'Питомец – Миша']
Нету слова 传送：菲拉斯 | ['传送：菲拉斯', '_', 'Телепортация: Фералас']
Нету слова 裂体撕扯 | ['裂体撕扯', '_', 'Рассекающее ранение']
Нету слова 传送：尼斯卡拉 | ['传送：尼斯卡拉', '_', 'Телепортация: Нискара']
Нету слова 大领主的复仇战马 | ['大领主的复仇战马', '_', 'Мстительный скакун верховного лорда']
Нету слова 奥术折磨 | ['奥术折磨', '_', 'Чародейское мучение']
Нету слова 传送：乌索克祭坛 | ['传送：乌索克祭坛', '_', 'Телепортация: Святилище Урсока']
Нету слова 传送：永月平台 | ['传送：永月平台', '_', 'Телепортация: терраса Вечной Луны']
Нету слова 传送：主母萨丝琳 | ['传送：主母萨丝琳', '_', 'Телепортация: госпожа Сашжин']
Нету слова 传送：武僧职业大厅 | ['传送：武僧职业大厅', '_', 'Телепортация: Оплот монахов']
Нету слова 宴会装束-顶点 | ['宴会装束-顶点', '_', 'Маскарадный костюм – вершина']
Нету слова 狂怒撕扯 | ['狂怒撕扯', '_', 'Рвать и кромсать']
Нету слова 投掷标志 | ['投掷标志', '_', 'Бросить жетон']
Нету слова 传送：恶魔审判庭 | ['传送：恶魔审判庭', '_', 'Телепортация: демоническая инквизиция']
Нету слова 传送：团队副本入口 | ['传送：团队副本入口', '_', 'Телепортация: начало рейда']
Нету слова 传送：英灵殿 | ['传送：英灵殿', '_', 'Телепортация: Чертоги Доблести']
Нету слова 传送：法兰纳尔 | ['传送：法兰纳尔', '_', 'Телепортация: Фаланаар']
Нету слова 传送：恐惧魔王 | ['传送：恐惧魔王', '_', 'Телепортация: повелитель ужаса']
Нету слова 传送：苏拉玛王宫 | ['传送：苏拉玛王宫', '_', 'Телепортация: дворец Сурамара']
Нету слова 传送：戒卫侍女 | ['传送：戒卫侍女', '_', 'Телепортация: бдительная дева']
Нету слова 暗影映像：恶毒 | ['暗影映像：恶毒', '_', 'Пагубное темное отражение']
Нету слова 清空盗贼宝库任务 | ['清空盗贼宝库任务', '_', 'Очистка задания хранилища разбойника']
Нету слова 传送：海加尔山 | ['传送：海加尔山', '_', 'Телепортация: гора Хиджал']
Нету слова 追随者：陈·风暴烈酒 | ['追随者：陈·风暴烈酒', '_', 'Соратник: Чэнь Буйный Портер']
Нету слова 传送：千针石林 | ['传送：千针石林', '_', 'Телепортация: Тысяча Игл']
Нету слова 传送：法术之刃 | ['传送：法术之刃', '_', 'Телепортация: чародейский клинок']
Нету слова 传送：法罗纳尔 | ['传送：法罗纳尔', '_', 'Телепортация: Фаронаар']
Нету слова 重置奖励目标 | ['重置奖励目标', '_', 'Обнуление дополнительных задач']
Нету слова 友好的魔刃豹 | ['友好的魔刃豹', '_', 'Дружелюбный манапард']
Нету слова 宴会装束：飞蛾 | ['宴会装束：飞蛾', '_', 'Маскарадный костюм – мотылек']
Нету слова 传送：巡游广场 | ['传送：巡游广场', '_', 'Телепортация: парадная территория']
Нету слова 传送：萨格拉斯之墓 | ['传送：萨格拉斯之墓', '_', 'Телепортация: гробница Саргераса']
Нету слова 神秘射线 | ['神秘射线', '_', 'Пророческий луч']
Нету слова 腐化的审讯 | ['腐化的审讯', '_', 'Искаженный допрос']
Нету слова 传送：残月酒馆 | ['传送：残月酒馆', '_', 'Телепортация: "Лунный полумрак"']
Нету слова 传送：沙尔艾兰 | ['传送：沙尔艾兰', '_', 'Телепортация: ШалАран']
Нету слова 阿莎曼的撕扯 | ['阿莎曼的撕扯', '_', 'Раздирающий удар Пеплошкурой']
Нету слова 合成烹饪食谱 | ['合成烹饪食谱', '_', 'Подготовка кулинарного рецепта']
Нету слова 传送：巴拉丁监狱 | ['传送：巴拉丁监狱', '_', 'Телепортация: крепость Барадин']
Нету слова 传送：虚空之光神殿 | ['传送：虚空之光神殿', '_', 'Телепортация: Храм света Пустоты']
Нету слова 水桶掉落 | ['水桶掉落', '_', 'Бросить ведро']
Нету слова 骑乘独木舟 | ['骑乘独木舟', '_', 'Поездка на каноэ']
Нету слова 解锁“毁灭” | ['解锁“毁灭”', '_', 'Добавить мелодию "Раскол"']
Нету слова 传送：茂林岗哨 | ['传送：茂林岗哨', '_', 'Телепортация: Вечное Цветение']
Нету слова 穆兹 | ['穆兹', '_', 'Музи']
Нету слова 痛苦撕扯 | ['痛苦撕扯', '_', 'Мучительное разрывание']
Нету слова 哈拉萨消失 | ['哈拉萨消失', '_', 'Исчезновение Харатхи']
Нету слова 瘆人嚎叫 | ['瘆人嚎叫', '_', 'Леденящий душу вой']
Нету слова 任务：杀死腐化的野兽 | ['任务：杀死腐化的野兽', '_', 'Задание: Упокоение зараженных']
Нету слова 追随者：剥皮者金鬃 | ['追随者：剥皮者金鬃', '_', 'Соратник: Златогрив Свежеватель']
Нету слова 传送：被遗忘者舰队残骸 | ['传送：被遗忘者舰队残骸', '_', 'Телепортация: Останки флота Отрекшихся']
Нету слова 召唤奖励宝箱 | ['召唤奖励宝箱', '_', 'Призыв сундука с наградами']
Нету слова 准备食物 | ['准备食物', '_', 'Готовая еда']
Нету слова 折磨飞弹 | ['折磨飞弹', '_', 'Мучительный заряд']
Нету слова 酸脊毒浆 | ['酸脊毒浆', '_', 'Лужа едкоспина']
Нету слова 索克雷萨之咒 | ['索克雷萨之咒', '_', 'Запасной план Сокретара']
Нету слова 传送：战争之矛 | ['传送：战争之矛', '_', 'Телепортация: Копье Войны']
Нету слова 斧劈 | ['斧劈', '_', 'Взмах топора']
Нету слова 传送：影月墓地 | ['传送：影月墓地', '_', 'Телепортация: некрополь Призрачной Луны']
Нету слова 奖励目标：骨头 | ['奖励目标：骨头', '_', 'Дополнительная задача: кость']
Нету слова 沉淀，我亲爱的。 | ['沉淀，我亲爱的。', '_', 'Сухой остаток']
Нету слова 海拉加尔登陆战：灰色浅滩 | ['海拉加尔登陆战：灰色浅滩', '_', 'Рейд хеларьяров: Серые мели']
Нету слова 奖励目标：击败加隆·落烬 | ['奖励目标：击败加隆·落烬', '_', 'Убить Джерона Углепада']
Нету слова 祖阿曼奖励任务 | ['祖阿曼奖励任务', '_', 'ЗулАман – награда']
Нету слова 奖励目标：击败瑞莱·山倾 | ['奖励目标：击败瑞莱·山倾', '_', 'Убить Рилаю Бушующую Волну']
Нету слова 任务：邪怒 | ['任务：邪怒', '_', 'Задание: ярость Скверны']
Нету слова 紫罗兰监狱奖励任务 | ['紫罗兰监狱奖励任务', '_', 'Аметистовая крепость – награда']
Нету слова 巡逻员：阵亡者的尊严 | ['巡逻员：阵亡者的尊严', '_', 'Тролльский дозор: смертельная усталость']
Нету слова 剃刀高地奖励任务 | ['剃刀高地奖励任务', '_', 'Курганы Иглошкурых – награда']
Нету слова 狩猎课：谷地飞蛾 | ['狩猎课：谷地飞蛾', '_', 'Уроки охоты: долинные порхуны']
Нету слова 次级憎恶 | ['次级憎恶', '_', 'Малая мерзость']
Нету слова 风暴神殿：失落的仪式 | ['风暴神殿：失落的仪式', '_', 'Святилище Штормов: недостающий ритуал']
Нету слова 留神不速之客 | ['留神不速之客', '_', 'Слежка за нарушителями границ']
Нету слова 乌特加德城堡奖励任务 | ['乌特加德城堡奖励任务', '_', 'Крепость Утгард – награда']
Нету слова 雷象训练：暴怒飞蛾 | ['雷象训练：暴怒飞蛾', '_', 'Тренировка элекка: Муха Страха']
Нету слова 任务报告：掩映岩洞 | ['任务报告：掩映岩洞', '_', 'Оперативный отчет: Тайный грот']
Нету слова 祖尔法拉克奖励任务 | ['祖尔法拉克奖励任务', '_', 'Зулфаррак – награда']
Нету слова 征服斗兽场：九死一生 | ['征服斗兽场：九死一生', '_', 'Бойцовская яма: смерть близка']
Нету слова 诺莫瑞根奖励任务 | ['诺莫瑞根奖励任务', '_', 'Гномреган – награда']
Нету слова 拉博追踪任务 | ['拉博追踪任务', '_', 'Слежка для Лха-По']
Нету слова 任务：艾黎的威胁 | ['任务：艾黎的威胁', '_', 'Операция "Угроза с воздуха"']
Нету слова 回到实验室 | ['回到实验室', '_', 'Назад в лабораторию']
Нету слова 奥金顿奖励任务 | ['奥金顿奖励任务', '_', 'Дополнительное задание: Аукиндон']
Нету слова 座狼训练：暴怒飞蛾 | ['座狼训练：暴怒飞蛾', '_', 'Дрессировка волка: Муха Страха']
Нету слова 任务：调查深岩之洲 | ['任务：调查深岩之洲', '_', 'Задание: разведка в Подземье']
Нету слова 复仇军囚犯的标识牌 | ['复仇军囚犯的标识牌', '_', 'Каталог бирок пленников Эфириума']
Нету слова 任务报告：丘冠牧场 | ['任务报告：丘冠牧场', '_', 'Оперативный отчет: Горное пастбище']
Нету слова 鲜血熔炉奖励任务 | ['鲜血熔炉奖励任务', '_', 'Кузня Крови – награда']
Нету слова 奖励目标：熔岩采石场 | ['奖励目标：熔岩采石场', '_', 'Раскаленный карьер']
Нету слова 生态船奖励任务 | ['生态船奖励任务', '_', 'Ботаника – награда']
Нету слова 格瑞姆巴托奖励任务 | ['格瑞姆巴托奖励任务', '_', 'Грим Батол – награда']
Нету слова 通天峰奖励任务 | ['通天峰奖励任务', '_', 'Дополнительное задание: Небесный Путь']
Нету слова 任务：地狱岩床 | ['任务：地狱岩床', '_', 'Задание: Косогор Бездны']
Нету слова 艾卓-尼鲁布奖励任务 | ['艾卓-尼鲁布奖励任务', '_', 'Азжол-Неруб – награда']
Нету слова 沉没的神庙奖励任务 | ['沉没的神庙奖励任务', '_', 'Затонувший храм – награда']
Нету слова 任务报告：深入柳魔 | ['任务报告：深入柳魔', '_', 'Оперативный отчет: в заросли']
Нету слова 起源大厅奖励任务 | ['起源大厅奖励任务', '_', 'Чертоги Созидания – награда']
Нету слова 祖尔格拉布奖励任务 | ['祖尔格拉布奖励任务', '_', 'ЗулГуруб – награда']
Нету слова 冠军的试炼奖励任务 | ['冠军的试炼奖励任务', '_', 'Дополнительное задание: испытание чемпиона']
Нету слова 岩石大厅奖励任务 | ['岩石大厅奖励任务', '_', 'Чертоги Камня – награда']
Нету слова 任务报告：备用材料 | ['任务报告：备用材料', '_', 'Оперативный отчет: запасные части']
Нету слова 净化斯坦索姆奖励任务 | ['净化斯坦索姆奖励任务', '_', 'Очищение Стратхольма – награда']
Нету слова 指挥官斯普林瓦尔奖励任务 | ['指挥官斯普林瓦尔奖励任务', '_', 'Командир Спрингвейл – награда']
Нету слова 死亡矿井奖励任务 | ['死亡矿井奖励任务', '_', 'Мертвые копи – награда']
Нету слова 魔环奖励任务 | ['魔环奖励任务', '_', 'Окулус – награда']
Нету слова 黑暗深渊奖励任务 | ['黑暗深渊奖励任务', '_', 'Непроглядная пучина – награда']
Нету слова 与恶霸抗争 | ['与恶霸抗争', '_', 'Проучить задиру']
Нету слова 监狱奖励任务 | ['监狱奖励任务', '_', 'Тюрьма – награда']
Нету слова 任务：元素外交 | ['任务：元素外交', '_', 'Задание: стихийная дипломатия']
Нету слова 古达克奖励任务 | ['古达克奖励任务', '_', 'Гундрак – награда']
Нету слова 任务：邪怒毁灭 | ['任务：邪怒毁灭', '_', 'Задание: обуздание Ярости Скверны']
Нету слова 塔布羊训练：暴怒飞蛾 | ['塔布羊训练：暴怒飞蛾', '_', 'Тренировка талбука: Муха Страха']
Нету слова 任务：搜索行动 | ['任务：搜索行动', '_', 'Задание: спасательная операция']
Нету слова 永恒之井奖励任务 | ['永恒之井奖励任务', '_', 'Источник Вечности – награда']
Нету слова 飞蛾满屋 | ['飞蛾满屋', '_', 'Нашествие моли']
Нету слова 汤面时间：奖励 | ['汤面时间：奖励', '_', 'Час лапши: бонус']
Нету слова 任务报告：巨擘封印 | ['任务报告：巨擘封印', '_', 'Оперативный отчет: Великая Печать']
Нету слова 神殿废墟 | ['神殿废墟', '_', 'Разрушенный храм']
Нету слова 任务报告：猎泥海湾 | ['任务报告：猎泥海湾', '_', 'Оперативный отчет: Крабья бухта']
Нету слова 亲爱的纳塔莉亚 | ['亲爱的纳塔莉亚', '_', 'Дражайшая Наталия']
Нету слова 王庭的奖励 | ['王庭的奖励', '_', 'Награда Двора']
Нету слова 映像大厅奖励任务 | ['映像大厅奖励任务', '_', 'Залы Отражений – награда']
Нету слова 旋云之巅奖励任务 | ['旋云之巅奖励任务', '_', 'Вершина Смерча – награда']
Нету слова 倒霉一上午 | ['倒霉一上午', '_', 'Мое ужасное утро']
Нету слова 哪个是女巫？ | ['哪个是女巫？', '_', 'Выбирай любую ведьму']
Нету слова 风暴熔炉：暗影圣物 | ['风暴熔炉：暗影圣物', '_', 'Горнило Штормов: темные реликвии']
Нету слова 任务报告：祖尔加废墟 | ['任务报告：祖尔加废墟', '_', 'Оперативный отчет: руины Зулджана']
Нету слова 任务报告：翠绿洞窟 | ['任务报告：翠绿洞窟', '_', 'Оперативный отчет: Зеленая низина']
Нету слова 巨石之核奖励任务 | ['巨石之核奖励任务', '_', 'Каменные Недра – награда']
Нету слова 乌特加德之巅奖励任务 | ['乌特加德之巅奖励任务', '_', 'Вершина Утгард – награда']
Нету слова 蒸汽地窟奖励任务 | ['蒸汽地窟奖励任务', '_', 'Паровое подземелье – награда']
Нету слова 禁魔监狱奖励任务 | ['禁魔监狱奖励任务', '_', 'Аркатрац – награда']
